Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001213399,PASSED
test2.in,2,0,2,1,1,0.000001149200,PASSED
test3.in,3,2,5,2,2,0.000002276300,PASSED
test4.in,4,4,8,2,2,0.000002666701,PASSED
test5.in,5,6,11,2,2,0.000003487301,PASSED
test6.in,6,0,6,1,1,0.000002174300,PASSED
test7.in,7,6,13,2,2,0.000004348901,PASSED
test8.in,8,7,15,2,2,0.000005698000,PASSED
test9.in,9,8,17,2,2,0.000004434600,PASSED
test10.in,10,9,19,2,2,0.000005748800,PASSED
test11.in,11,28,39,2,2,0.000007121099,PASSED
test12.in,12,11,23,2,2,0.000007018001,PASSED
test13.in,13,40,53,2,2,0.000007949600,PASSED
test14.in,14,48,62,2,2,0.000008811602,PASSED
test15.in,15,56,71,2,2,0.000009103500,PASSED
test16.in,16,15,31,2,2,0.000008392600,PASSED
test17.in,17,30,47,2,2,0.000015808200,PASSED
test18.in,18,56,74,2,2,0.000010055801,PASSED
test19.in,19,78,97,2,2,0.000012838099,PASSED
test20.in,20,19,39,2,2,0.000007277800,PASSED
test21.in,21,98,119,2,2,0.000012925399,PASSED
test22.in,22,117,139,2,2,0.000016334100,PASSED
test23.in,23,102,125,2,2,0.000014957800,PASSED
test24.in,24,143,167,2,2,0.000021290600,PASSED
test25.in,25,24,49,2,2,0.000012185700,PASSED
test26.in,26,69,95,2,2,0.000011518700,PASSED
test27.in,27,176,203,2,2,0.000022076300,PASSED
test28.in,28,147,175,2,2,0.000021098599,PASSED
test29.in,29,190,219,2,2,0.000023737000,PASSED
test30.in,30,200,230,2,2,0.000022372000,PASSED
test31.in,31,228,259,2,2,0.000025275500,PASSED
test32.in,32,231,263,2,2,0.000027041799,PASSED
test33.in,33,0,33,1,1,0.000006921900,PASSED
test34.in,34,145,179,2,2,0.000023435299,PASSED
test35.in,35,66,101,2,2,0.000017844201,PASSED
test36.in,36,0,36,1,1,0.000007297700,PASSED
test37.in,37,322,359,2,2,0.000039100901,PASSED
test38.in,38,312,350,2,2,0.000031770001,PASSED
test39.in,39,290,329,2,2,0.000033785100,PASSED
test40.in,40,175,215,2,2,0.000025707499,PASSED
test41.in,41,0,41,1,1,0.000014615201,PASSED
test42.in,42,341,383,2,2,0.000061977800,PASSED
test43.in,43,372,415,2,2,0.000046389100,PASSED
test44.in,44,459,503,2,2,0.000051560500,PASSED
test45.in,45,324,369,2,2,0.000094975600,PASSED
test46.in,46,45,91,2,2,0.000022392001,PASSED
test47.in,47,540,587,2,2,0.000053469100,PASSED
test48.in,48,512,560,2,2,0.000052809300,PASSED
test49.in,49,418,467,2,2,0.000044473000,PASSED

Total tests passed: 49 / 49
Pass percentage: 100.00%
