Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001270045,PASSED
test2.in,2,0,2,1,1,0.000001270091,PASSED
test3.in,3,2,5,2,2,0.000001779990,PASSED
test4.in,4,3,7,2,2,0.000001899991,PASSED
test5.in,5,6,11,2,2,0.000002400018,PASSED
test6.in,6,5,11,2,2,0.000002660137,PASSED
test7.in,7,12,19,2,2,0.000003219955,PASSED
test8.in,8,7,15,2,2,0.000003629969,PASSED
test9.in,9,0,9,1,1,0.000002440019,PASSED
test10.in,10,16,26,2,2,0.000004599895,PASSED
test11.in,11,0,11,1,1,0.000003359979,PASSED
test12.in,12,11,23,2,2,0.000004410092,PASSED
test13.in,13,12,25,2,2,0.000004840037,PASSED
test14.in,14,33,47,2,2,0.000006219978,PASSED
test15.in,15,56,71,2,2,0.000007249974,PASSED
test16.in,16,15,31,2,2,0.000005479995,PASSED
test17.in,17,60,77,2,2,0.000009329990,PASSED
test18.in,18,17,35,2,2,0.000006389944,PASSED
test19.in,19,48,67,2,2,0.000009269966,PASSED
test20.in,20,100,120,2,2,0.000010779966,PASSED
test21.in,21,80,101,2,2,0.000010209996,PASSED
test22.in,22,0,22,1,1,0.000005119899,PASSED
test23.in,23,0,23,1,1,0.000005479902,PASSED
test24.in,24,128,152,2,2,0.000014209980,PASSED
test25.in,25,84,109,2,2,0.000010660011,PASSED
test26.in,26,160,186,2,2,0.000016760034,PASSED
test27.in,27,152,179,2,2,0.000015159929,PASSED
test28.in,28,52,80,2,2,0.000010210089,PASSED
test29.in,29,54,83,2,2,0.000010740012,PASSED
test30.in,30,56,86,2,2,0.000011910032,PASSED
test31.in,31,220,251,2,2,0.000019660080,PASSED
test32.in,32,87,119,2,2,0.000013880106,PASSED
test33.in,33,32,65,2,2,0.000009469874,PASSED
test34.in,34,93,127,2,2,0.000015590061,PASSED
test35.in,35,276,311,2,2,0.000024509989,PASSED
test36.in,36,155,191,2,2,0.000017730100,PASSED
test37.in,37,210,247,2,2,0.000020529982,PASSED
test38.in,38,0,38,1,1,0.000009460049,PASSED
test39.in,39,368,407,2,2,0.000030600047,PASSED
test40.in,40,204,244,2,2,0.000022209901,PASSED
test41.in,41,414,455,2,2,0.000034180097,PASSED
test42.in,42,425,467,2,2,0.000032909913,PASSED
test43.in,43,190,233,2,2,0.000020210072,PASSED
test44.in,44,43,87,2,2,0.000015400024,PASSED
test45.in,45,450,495,2,2,0.000034829974,PASSED
test46.in,46,525,571,2,2,0.000039609987,PASSED
test47.in,47,46,93,2,2,0.000015970133,PASSED
test48.in,48,495,543,2,2,0.000037820078,PASSED
test49.in,49,528,577,2,2,0.000041589933,PASSED
test50.in,50,561,611,2,2,0.000043259934,PASSED

Total tests passed: 50 / 50
Pass percentage: 100.00%
