Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002300041,PASSED
test2.in,2,0,2,1,1,0.000002529984,PASSED
test3.in,3,2,5,2,2,0.000003479933,PASSED
test4.in,4,3,7,2,2,0.000004900061,PASSED
test5.in,5,6,11,2,2,0.000004770001,PASSED
test6.in,6,5,11,2,2,0.000006669993,PASSED
test7.in,7,12,19,2,2,0.000008009933,PASSED
test8.in,8,7,15,2,2,0.000007389998,PASSED
test9.in,9,0,9,1,1,0.000004829932,PASSED
test10.in,10,16,26,2,2,0.000009670062,PASSED
test11.in,11,0,11,1,1,0.000005839951,PASSED
test12.in,12,11,23,2,2,0.000011730054,PASSED
test13.in,13,12,25,2,2,0.000010719849,PASSED
test14.in,14,33,47,2,2,0.000012889924,PASSED
test15.in,15,56,71,2,2,0.000014919927,PASSED
test16.in,16,15,31,2,2,0.000012920098,PASSED
test17.in,17,60,77,2,2,0.000017340016,PASSED
test18.in,18,17,35,2,2,0.000014450122,PASSED
test19.in,19,48,67,2,2,0.000017079990,PASSED
test20.in,20,100,120,2,2,0.000020850031,PASSED
test21.in,21,80,101,2,2,0.000020820089,PASSED
test22.in,22,0,22,1,1,0.000009460002,PASSED
test23.in,23,0,23,1,1,0.000010309974,PASSED
test24.in,24,128,152,2,2,0.000026539993,PASSED
test25.in,25,84,109,2,2,0.000024520047,PASSED
test26.in,26,160,186,2,2,0.000028399983,PASSED
test27.in,27,152,179,2,2,0.000029969867,PASSED
test28.in,28,52,80,2,2,0.000024650013,PASSED
test29.in,29,54,83,2,2,0.000024010008,PASSED
test30.in,30,56,86,2,2,0.000024949899,PASSED
test31.in,31,220,251,2,2,0.000037549948,PASSED
test32.in,32,87,119,2,2,0.000029170047,PASSED
test33.in,33,32,65,2,2,0.000026289932,PASSED
test34.in,34,93,127,2,2,0.000031789998,PASSED
test35.in,35,276,311,2,2,0.000042640045,PASSED
test36.in,36,155,191,2,2,0.000037190039,PASSED
test37.in,37,210,247,2,2,0.000041429931,PASSED
test38.in,38,0,38,1,1,0.000016519986,PASSED
test39.in,39,368,407,2,2,0.000050620036,PASSED
test40.in,40,204,244,2,2,0.000042409962,PASSED
test41.in,41,414,455,2,2,0.000056480011,PASSED
test42.in,42,425,467,2,2,0.000059710024,PASSED
test43.in,43,190,233,2,2,0.000043380028,PASSED
test44.in,44,43,87,2,2,0.000033500092,PASSED
test45.in,45,450,495,2,2,0.000062319916,PASSED
test46.in,46,525,571,2,2,0.000066880137,PASSED
test47.in,47,46,93,2,2,0.000035399990,PASSED
test48.in,48,495,543,2,2,0.000072220061,PASSED
test49.in,49,528,577,2,2,0.000070630061,PASSED
test50.in,50,561,611,2,2,0.000074980082,PASSED

Total tests passed: 50 / 50
Pass percentage: 100.00%
