Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001950143 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000003190013 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000001249975 | PASSED | 1
test2.in | Backtracking | 2 | 1 | 0.000001909956 | PASSED | 2
test2.in | Welsh-Powell | 2 | 1 | 0.000003039977 | PASSED | 2
test2.in | Greedy | 2 | 1 | 0.000001290021 | PASSED | 2
test3.in | Backtracking | 3 | 2 | 0.000002659997 | PASSED | 2
test3.in | Welsh-Powell | 3 | 2 | 0.000004210044 | PASSED | 2
test3.in | Greedy | 3 | 2 | 0.000001680013 | PASSED | 2
test4.in | Backtracking | 4 | 3 | 0.000003109965 | PASSED | 2
test4.in | Welsh-Powell | 4 | 3 | 0.000005610054 | PASSED | 2
test4.in | Greedy | 4 | 3 | 0.000001960015 | PASSED | 2
test5.in | Backtracking | 5 | 4 | 0.000004329998 | PASSED | 2
test5.in | Welsh-Powell | 5 | 4 | 0.000006089965 | PASSED | 2
test5.in | Greedy | 5 | 4 | 0.000002139993 | PASSED | 2
test6.in | Backtracking | 6 | 8 | 0.000004030019 | PASSED | 2
test6.in | Welsh-Powell | 6 | 8 | 0.000006620074 | PASSED | 2
test6.in | Greedy | 6 | 8 | 0.000002839975 | PASSED | 2
test7.in | Backtracking | 7 | 0 | 0.000002270099 | PASSED | 1
test7.in | Welsh-Powell | 7 | 0 | 0.000004250044 | PASSED | 1
test7.in | Greedy | 7 | 0 | 0.000002070097 | PASSED | 1
test8.in | Backtracking | 8 | 12 | 0.000004900014 | PASSED | 2
test8.in | Welsh-Powell | 8 | 12 | 0.000008420087 | PASSED | 2
test8.in | Greedy | 8 | 12 | 0.000003419956 | PASSED | 2
test9.in | Backtracking | 9 | 14 | 0.000006819982 | PASSED | 2
test9.in | Welsh-Powell | 9 | 14 | 0.000009249989 | PASSED | 2
test9.in | Greedy | 9 | 14 | 0.000003439980 | PASSED | 2
test10.in | Backtracking | 10 | 16 | 0.000006539980 | PASSED | 2
test10.in | Welsh-Powell | 10 | 16 | 0.000010389974 | PASSED | 2
test10.in | Greedy | 10 | 16 | 0.000004089903 | PASSED | 2
test11.in | Backtracking | 11 | 10 | 0.000007459894 | PASSED | 2
test11.in | Welsh-Powell | 11 | 10 | 0.000010200031 | PASSED | 2
test11.in | Greedy | 11 | 10 | 0.000003670063 | PASSED | 2
test12.in | Backtracking | 12 | 35 | 0.000009229966 | PASSED | 2
test12.in | Welsh-Powell | 12 | 35 | 0.000011759996 | PASSED | 2
test12.in | Greedy | 12 | 35 | 0.000005559949 | PASSED | 2
test13.in | Backtracking | 13 | 12 | 0.000008389959 | PASSED | 2
test13.in | Welsh-Powell | 13 | 12 | 0.000012179930 | PASSED | 2
test13.in | Greedy | 13 | 12 | 0.000004070019 | PASSED | 2
test14.in | Backtracking | 14 | 45 | 0.000009379955 | PASSED | 2
test14.in | Welsh-Powell | 14 | 45 | 0.000014989963 | PASSED | 2
test14.in | Greedy | 14 | 45 | 0.000006610155 | PASSED | 2
test15.in | Backtracking | 15 | 54 | 0.000024960097 | PASSED | 2
test15.in | Welsh-Powell | 15 | 54 | 0.000015219860 | PASSED | 2
test15.in | Greedy | 15 | 54 | 0.000007130019 | PASSED | 2
test16.in | Backtracking | 16 | 60 | 0.000010600034 | PASSED | 2
test16.in | Welsh-Powell | 16 | 60 | 0.000016850000 | PASSED | 2
test16.in | Greedy | 16 | 60 | 0.000008260040 | PASSED | 2
test17.in | Backtracking | 17 | 0 | 0.000004289951 | PASSED | 1
test17.in | Welsh-Powell | 17 | 0 | 0.000008709915 | PASSED | 1
test17.in | Greedy | 17 | 0 | 0.000003869971 | PASSED | 1
test18.in | Backtracking | 18 | 56 | 0.000012020022 | PASSED | 2
test18.in | Welsh-Powell | 18 | 56 | 0.000018939981 | PASSED | 2
test18.in | Greedy | 18 | 56 | 0.000008179899 | PASSED | 2
test19.in | Backtracking | 19 | 70 | 0.000012530060 | PASSED | 2
test19.in | Welsh-Powell | 19 | 70 | 0.000019890023 | PASSED | 2
test19.in | Greedy | 19 | 70 | 0.000009259908 | PASSED | 2
test20.in | Backtracking | 20 | 96 | 0.000014830008 | PASSED | 2
test20.in | Welsh-Powell | 20 | 96 | 0.000021659909 | PASSED | 2
test20.in | Greedy | 20 | 96 | 0.000011280039 | PASSED | 2
test21.in | Backtracking | 21 | 68 | 0.000014749914 | PASSED | 2
test21.in | Welsh-Powell | 21 | 68 | 0.000021730037 | PASSED | 2
test21.in | Greedy | 21 | 68 | 0.000009489944 | PASSED | 2
test22.in | Backtracking | 22 | 120 | 0.000017259922 | PASSED | 2
test22.in | Welsh-Powell | 22 | 120 | 0.000085930061 | PASSED | 2
test22.in | Greedy | 22 | 120 | 0.000012870179 | PASSED | 2
test23.in | Backtracking | 23 | 112 | 0.000017240038 | PASSED | 2
test23.in | Welsh-Powell | 23 | 112 | 0.000025999919 | PASSED | 2
test23.in | Greedy | 23 | 112 | 0.000012539933 | PASSED | 2
test24.in | Backtracking | 24 | 108 | 0.000016859965 | PASSED | 2
test24.in | Welsh-Powell | 24 | 108 | 0.000026240107 | PASSED | 2
test24.in | Greedy | 24 | 108 | 0.000012350036 | PASSED | 2
test25.in | Backtracking | 25 | 136 | 0.000017560041 | PASSED | 2
test25.in | Welsh-Powell | 25 | 136 | 0.000028429972 | PASSED | 2
test25.in | Greedy | 25 | 136 | 0.000014390051 | PASSED | 2
test26.in | Backtracking | 26 | 153 | 0.000021300046 | PASSED | 2
test26.in | Welsh-Powell | 26 | 153 | 0.000030300068 | PASSED | 2
test26.in | Greedy | 26 | 153 | 0.000016039982 | PASSED | 2
test27.in | Backtracking | 27 | 180 | 0.000023049954 | PASSED | 2
test27.in | Welsh-Powell | 27 | 180 | 0.000033599976 | PASSED | 2
test27.in | Greedy | 27 | 180 | 0.000016030017 | PASSED | 2
test28.in | Backtracking | 28 | 147 | 0.000019889977 | PASSED | 2
test28.in | Welsh-Powell | 28 | 147 | 0.000032139942 | PASSED | 2
test28.in | Greedy | 28 | 147 | 0.000015910016 | PASSED | 2
test29.in | Backtracking | 29 | 154 | 0.000021139951 | PASSED | 2
test29.in | Welsh-Powell | 29 | 154 | 0.000033770036 | PASSED | 2
test29.in | Greedy | 29 | 154 | 0.000016040029 | PASSED | 2
test30.in | Backtracking | 30 | 29 | 0.000016700104 | PASSED | 2
test30.in | Welsh-Powell | 30 | 29 | 0.000025620032 | PASSED | 2
test30.in | Greedy | 30 | 29 | 0.000009319978 | PASSED | 2
test31.in | Backtracking | 31 | 234 | 0.000026449934 | PASSED | 2
test31.in | Welsh-Powell | 31 | 234 | 0.000060550077 | PASSED | 2
test31.in | Greedy | 31 | 234 | 0.000021190057 | PASSED | 2
test32.in | Backtracking | 32 | 255 | 0.000028940011 | PASSED | 2
test32.in | Welsh-Powell | 32 | 255 | 0.000040769950 | PASSED | 2
test32.in | Greedy | 32 | 255 | 0.000021570036 | PASSED | 2
test33.in | Backtracking | 33 | 182 | 0.000023890007 | PASSED | 2
test33.in | Welsh-Powell | 33 | 182 | 0.000034900103 | PASSED | 2
test33.in | Greedy | 33 | 182 | 0.000019170204 | PASSED | 2
test34.in | Backtracking | 34 | 285 | 0.000030709943 | PASSED | 2
test34.in | Welsh-Powell | 34 | 285 | 0.000044050068 | PASSED | 2
test34.in | Greedy | 34 | 285 | 0.000024100114 | PASSED | 2
test35.in | Backtracking | 35 | 0 | 0.000008269912 | PASSED | 1
test35.in | Welsh-Powell | 35 | 0 | 0.000014739949 | PASSED | 1
test35.in | Greedy | 35 | 0 | 0.000007910049 | PASSED | 1
test36.in | Backtracking | 36 | 320 | 0.000040519983 | PASSED | 2
test36.in | Welsh-Powell | 36 | 320 | 0.000048540067 | PASSED | 2
test36.in | Greedy | 36 | 320 | 0.000026519923 | PASSED | 2
test37.in | Backtracking | 37 | 322 | 0.000035459967 | PASSED | 2
test37.in | Welsh-Powell | 37 | 322 | 0.000049969926 | PASSED | 2
test37.in | Greedy | 37 | 322 | 0.000026499946 | PASSED | 2
test38.in | Backtracking | 38 | 105 | 0.000025139982 | PASSED | 2
test38.in | Welsh-Powell | 38 | 105 | 0.000036349939 | PASSED | 2
test38.in | Greedy | 38 | 105 | 0.000014639925 | PASSED | 2
test39.in | Backtracking | 39 | 380 | 0.000037879962 | PASSED | 2
test39.in | Welsh-Powell | 39 | 380 | 0.000054140016 | PASSED | 2
test39.in | Greedy | 39 | 380 | 0.000030520046 | PASSED | 2
test40.in | Backtracking | 40 | 399 | 0.000039870059 | PASSED | 2
test40.in | Welsh-Powell | 40 | 399 | 0.000056340033 | PASSED | 2
test40.in | Greedy | 40 | 399 | 0.000031220028 | PASSED | 2
test41.in | Backtracking | 41 | 180 | 0.000025250018 | PASSED | 2
test41.in | Welsh-Powell | 41 | 180 | 0.000042749941 | PASSED | 2
test41.in | Greedy | 41 | 180 | 0.000021660002 | PASSED | 2
test42.in | Backtracking | 42 | 41 | 0.000022489997 | PASSED | 2
