Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001090020 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000002089934 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000001010159 | PASSED | 1
test2.in | Backtracking | 2 | 1 | 0.000002000062 | PASSED | 2
test2.in | Welsh-Powell | 2 | 1 | 0.000002929987 | PASSED | 2
test2.in | Greedy | 2 | 1 | 0.000001300080 | PASSED | 2
test3.in | Backtracking | 3 | 3 | 0.000004799990 | PASSED | 3
test3.in | Welsh-Powell | 3 | 3 | 0.000004250044 | PASSED | 3
test3.in | Greedy | 3 | 3 | 0.000001800014 | PASSED | 3
test4.in | Backtracking | 4 | 6 | 0.000036199903 | PASSED | 4
test4.in | Welsh-Powell | 4 | 6 | 0.000006269990 | PASSED | 4
test4.in | Greedy | 4 | 6 | 0.000002270006 | PASSED | 4
test5.in | Backtracking | 5 | 10 | 0.000061840005 | PASSED | 5
test5.in | Welsh-Powell | 5 | 10 | 0.000009000022 | PASSED | 5
test5.in | Greedy | 5 | 10 | 0.000003190013 | PASSED | 5
test6.in | Backtracking | 6 | 15 | 0.000337390043 | PASSED | 6
test6.in | Welsh-Powell | 6 | 15 | 0.000012190035 | PASSED | 6
test6.in | Greedy | 6 | 15 | 0.000003489992 | PASSED | 6
test7.in | Backtracking | 7 | 21 | 0.002359559946 | PASSED | 7
test7.in | Welsh-Powell | 7 | 21 | 0.000016639940 | PASSED | 7
test7.in | Greedy | 7 | 21 | 0.000004299870 | PASSED | 7
test8.in | Backtracking | 8 | 28 | 0.018841670081 | PASSED | 8
test8.in | Welsh-Powell | 8 | 28 | 0.000020250073 | PASSED | 8
test8.in | Greedy | 8 | 28 | 0.000005229935 | PASSED | 8
test9.in | Backtracking | 9 | 36 | 0.178307879949 | PASSED | 9
test9.in | Welsh-Powell | 9 | 36 | 0.000025410019 | PASSED | 9
test9.in | Greedy | 9 | 36 | 0.000006060023 | PASSED | 9
test10.in | Backtracking | 10 | 45 | 2.090018369909 | PASSED | 10
test10.in | Welsh-Powell | 10 | 45 | 0.000031559961 | PASSED | 10
test10.in | Greedy | 10 | 45 | 0.000007000053 | PASSED | 10
test11.in | Backtracking | 11 | 55 | 23.730402699998 | PASSED | 11
test11.in | Welsh-Powell | 11 | 55 | 0.000037709996 | PASSED | 11
test11.in | Greedy | 11 | 55 | 0.000008179946 | PASSED | 11
