Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,1,2,1,1,0.000001359964,PASSED
test2.in,2,1,3,2,2,0.000002110004,PASSED
test3.in,3,3,6,3,3,0.000004570046,PASSED
test4.in,4,4,8,2,2,0.000002949918,PASSED
test5.in,5,5,10,3,3,0.000007689977,PASSED
test6.in,6,6,12,2,2,0.000003540097,PASSED
test7.in,7,7,14,3,3,0.000008969987,PASSED
test8.in,8,8,16,2,2,0.000004269928,PASSED
test9.in,9,9,18,3,3,0.000013440009,PASSED
test10.in,10,10,20,2,2,0.000005360041,PASSED
test11.in,11,11,22,3,3,0.000013909955,PASSED
test12.in,12,12,24,2,2,0.000005509984,PASSED
test13.in,13,13,26,3,3,0.000015999982,PASSED
test14.in,14,14,28,2,2,0.000006969925,PASSED
test15.in,15,15,30,3,3,0.000026760064,PASSED
test16.in,16,16,32,2,2,0.000008099992,PASSED
test17.in,17,17,34,3,3,0.000020209979,PASSED
test18.in,18,18,36,2,2,0.000007399963,PASSED
test19.in,19,19,38,3,3,0.000023099920,PASSED
test20.in,20,20,40,2,2,0.000008449936,PASSED
test21.in,21,21,42,3,3,0.000024419976,PASSED
test22.in,22,22,44,2,2,0.000010399986,PASSED
test23.in,23,23,46,3,3,0.000031520054,PASSED
test24.in,24,24,48,2,2,0.000018400000,PASSED
test25.in,25,25,50,3,3,0.000029360037,PASSED
test26.in,26,26,52,2,2,0.000009730086,PASSED
test27.in,27,27,54,3,3,0.000031130062,PASSED
test28.in,28,28,56,2,2,0.000011160038,PASSED
test29.in,29,29,58,3,3,0.000033330126,PASSED
test30.in,30,30,60,2,2,0.000011679996,PASSED
test31.in,31,31,62,3,3,0.000035669981,PASSED
test32.in,32,32,64,2,2,0.000012709992,PASSED
test33.in,33,33,66,3,3,0.000039129937,PASSED
test34.in,34,34,68,2,2,0.000013260078,PASSED
test35.in,35,35,70,3,3,0.000038680015,PASSED
test36.in,36,36,72,2,2,0.000013520010,PASSED
test37.in,37,37,74,3,3,0.000042250007,PASSED
test38.in,38,38,76,2,2,0.000013969885,PASSED
test39.in,39,39,78,3,3,0.000044629956,PASSED
test40.in,40,40,80,2,2,0.000015950110,PASSED
test41.in,41,41,82,3,3,0.000045730034,PASSED
test42.in,42,42,84,2,2,0.000015360024,PASSED
test43.in,43,43,86,3,3,0.000053819967,PASSED
test44.in,44,44,88,2,2,0.000016300008,PASSED
test45.in,45,45,90,3,3,0.000049149990,PASSED
test46.in,46,46,92,2,2,0.000024370011,PASSED
test47.in,47,47,94,3,3,0.000053490000,PASSED
test48.in,48,48,96,2,2,0.000016860012,PASSED
test49.in,49,49,98,3,3,0.000061419932,PASSED
test50.in,50,50,100,2,2,0.000017759996,PASSED
test51.in,51,51,102,3,3,0.000057959976,PASSED
test52.in,52,52,104,2,2,0.000017199898,PASSED
test53.in,53,53,106,3,3,0.000056309998,PASSED
test54.in,54,54,108,2,2,0.000019400008,PASSED
test55.in,55,55,110,3,3,0.000063749962,PASSED
test56.in,56,56,112,2,2,0.000018559908,PASSED
test57.in,57,57,114,3,3,0.000061789993,PASSED
test58.in,58,58,116,2,2,0.000020999881,PASSED
test59.in,59,59,118,3,3,0.000064320024,PASSED
test60.in,60,60,120,2,2,0.000025789952,PASSED
test61.in,61,61,122,3,3,0.000067999912,PASSED
test62.in,62,62,124,2,2,0.000021809991,PASSED
test63.in,63,63,126,3,3,0.000090279989,PASSED
test64.in,64,64,128,2,2,0.000022430066,PASSED
test65.in,65,65,130,3,3,0.000071120076,PASSED
test66.in,66,66,132,2,2,0.000023569912,PASSED
test67.in,67,67,134,3,3,0.000078180013,PASSED
test68.in,68,68,136,2,2,0.000023150072,PASSED
test69.in,69,69,138,3,3,0.000075970031,PASSED
test70.in,70,70,140,2,2,0.000024349894,PASSED
test71.in,71,71,142,3,3,0.000077480031,PASSED
test72.in,72,72,144,2,2,0.000024809921,PASSED
test73.in,73,73,146,3,3,0.000076479977,PASSED
test74.in,74,74,148,2,2,0.000025850022,PASSED
test75.in,75,75,150,3,3,0.000082510011,PASSED
test76.in,76,76,152,2,2,0.000025559822,PASSED
test77.in,77,77,154,3,3,0.000087420084,PASSED
test78.in,78,78,156,2,2,0.000028689904,PASSED
test79.in,79,79,158,3,3,0.000087069999,PASSED
test80.in,80,80,160,2,2,0.000028300146,PASSED

Total tests passed: 80 / 80
Pass percentage: 100.00%
