Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test0.in,9,9,18,3,3,0.000002561699,PASSED
test-1.in,8,8,16,2,2,0.000002375000,PASSED
test1.in,10,10,20,2,2,0.000002724400,PASSED
test-2.in,7,7,14,3,3,0.000002153800,PASSED
test2.in,11,11,22,3,3,0.000002793399,PASSED
test-3.in,6,6,12,2,2,0.000001922400,PASSED
test3.in,12,12,24,2,2,0.000003117100,PASSED
test-4.in,5,5,10,3,3,0.000001926600,PASSED
test4.in,13,13,26,3,3,0.000003306900,PASSED
test-5.in,4,4,8,2,2,0.000001574000,PASSED
test5.in,14,14,28,2,2,0.000003388500,PASSED
test-6.in,3,3,6,3,3,0.000001347100,PASSED
test6.in,15,15,30,3,3,0.000006792500,PASSED
test-7.in,2,1,3,2,2,0.000001040100,PASSED
test7.in,16,16,32,2,2,0.000003912700,PASSED
test-8.in,1,1,2,1,1,0.000001306000,PASSED
test8.in,17,17,34,3,3,0.000004098500,PASSED
test9.in,18,18,36,2,2,0.000005001001,PASSED
test10.in,19,19,38,3,3,0.000008670500,PASSED
test11.in,20,20,40,2,2,0.000005358601,PASSED
test12.in,21,21,42,3,3,0.000004731799,PASSED
test13.in,22,22,44,2,2,0.000004793200,PASSED
test14.in,23,23,46,3,3,0.000005224999,PASSED
test15.in,24,24,48,2,2,0.000005600800,PASSED
test16.in,25,25,50,3,3,0.000005495400,PASSED
test17.in,26,26,52,2,2,0.000005634701,PASSED
test18.in,27,27,54,3,3,0.000006062201,PASSED
test19.in,28,28,56,2,2,0.000009254099,PASSED
test20.in,29,29,58,3,3,0.000006192600,PASSED
test21.in,30,30,60,2,2,0.000006260900,PASSED
test22.in,31,31,62,3,3,0.000006841101,PASSED
test23.in,32,32,64,2,2,0.000006838900,PASSED
test24.in,33,33,66,3,3,0.000006901400,PASSED
test25.in,34,34,68,2,2,0.000007082300,PASSED
test26.in,35,35,70,3,3,0.000007410600,PASSED
test27.in,36,36,72,2,2,0.000007302400,PASSED
test28.in,37,37,74,3,3,0.000007738600,PASSED
test29.in,38,38,76,2,2,0.000007758699,PASSED
test30.in,39,39,78,3,3,0.000008135500,PASSED
test31.in,40,40,80,2,2,0.000008277700,PASSED
test32.in,41,41,82,3,3,0.000008299900,PASSED
test33.in,42,42,84,2,2,0.000008560400,PASSED
test34.in,43,43,86,3,3,0.000008621500,PASSED
test35.in,44,44,88,2,2,0.000009009799,PASSED
test36.in,45,45,90,3,3,0.000009281000,PASSED
test37.in,46,46,92,2,2,0.000010719500,PASSED
test38.in,47,47,94,3,3,0.000009528700,PASSED
test39.in,48,48,96,2,2,0.000010677000,PASSED
test40.in,49,49,98,3,3,0.000010464700,PASSED
test41.in,50,50,100,2,2,0.000013639000,PASSED
test42.in,51,51,102,3,3,0.000015962900,PASSED
test43.in,52,52,104,2,2,0.000011364101,PASSED
test44.in,53,53,106,3,3,0.000010992500,PASSED
test45.in,54,54,108,2,2,0.000011056900,PASSED
test46.in,55,55,110,3,3,0.000011078799,PASSED
test47.in,56,56,112,2,2,0.000011176500,PASSED
test48.in,57,57,114,3,3,0.000012263600,PASSED
test49.in,58,58,116,2,2,0.000011468700,PASSED
test50.in,59,59,118,3,3,0.000023955100,PASSED
test51.in,60,60,120,2,2,0.000011715600,PASSED
test52.in,61,61,122,3,3,0.000011955000,PASSED
test53.in,62,62,124,2,2,0.000012170800,PASSED
test54.in,63,63,126,3,3,0.000012892199,PASSED
test55.in,64,64,128,2,2,0.000013142000,PASSED
test56.in,65,65,130,3,3,0.000018597999,PASSED
test57.in,66,66,132,2,2,0.000012835499,PASSED
test58.in,67,67,134,3,3,0.000012894800,PASSED
test59.in,68,68,136,2,2,0.000013355500,PASSED
test60.in,69,69,138,3,3,0.000013287100,PASSED
test61.in,70,70,140,2,2,0.000013539100,PASSED
test62.in,71,71,142,3,3,0.000014595000,PASSED
test63.in,72,72,144,2,2,0.000014097699,PASSED
test64.in,73,73,146,3,3,0.000014219600,PASSED
test65.in,74,74,148,2,2,0.000014019701,PASSED
test66.in,75,75,150,3,3,0.000014273099,PASSED
test67.in,76,76,152,2,2,0.000014704700,PASSED
test68.in,77,77,154,3,3,0.000014882399,PASSED
test69.in,78,78,156,2,2,0.000015530100,PASSED
test70.in,79,79,158,3,3,0.000017803899,PASSED

Total tests passed: 79 / 79
Pass percentage: 100.00%
