Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,1,2,1,1,0.000002020132,PASSED
test2.in,2,1,3,2,2,0.000002690125,PASSED
test3.in,3,3,6,3,3,0.000003499910,PASSED
test4.in,4,4,8,2,2,0.000004360033,PASSED
test5.in,5,5,10,3,3,0.000005369913,PASSED
test6.in,6,6,12,2,2,0.000005949847,PASSED
test7.in,7,7,14,3,3,0.000006510038,PASSED
test8.in,8,8,16,2,2,0.000007059984,PASSED
test9.in,9,9,18,3,3,0.000007910002,PASSED
test10.in,10,10,20,2,2,0.000009280117,PASSED
test11.in,11,11,22,3,3,0.000011150027,PASSED
test12.in,12,12,24,2,2,0.000009839935,PASSED
test13.in,13,13,26,3,3,0.000010720128,PASSED
test14.in,14,14,28,2,2,0.000011899881,PASSED
test15.in,15,15,30,3,3,0.000011949940,PASSED
test16.in,16,16,32,2,2,0.000012589945,PASSED
test17.in,17,17,34,3,3,0.000013949955,PASSED
test18.in,18,18,36,2,2,0.000023050001,PASSED
test19.in,19,19,38,3,3,0.000015240163,PASSED
test20.in,20,20,40,2,2,0.000013490021,PASSED
test21.in,21,21,42,3,3,0.000015900005,PASSED
test22.in,22,22,44,2,2,0.000016419962,PASSED
test23.in,23,23,46,3,3,0.000018930016,PASSED
test24.in,24,24,48,2,2,0.000016300008,PASSED
test25.in,25,25,50,3,3,0.000019030087,PASSED
test26.in,26,26,52,2,2,0.000017990079,PASSED
test27.in,27,27,54,3,3,0.000020659948,PASSED
test28.in,28,28,56,2,2,0.000019489881,PASSED
test29.in,29,29,58,3,3,0.000021129940,PASSED
test30.in,30,30,60,2,2,0.000021139998,PASSED
test31.in,31,31,62,3,3,0.000058859866,PASSED
test32.in,32,32,64,2,2,0.000020600064,PASSED
test33.in,33,33,66,3,3,0.000023459969,PASSED
test34.in,34,34,68,2,2,0.000023219967,PASSED
test35.in,35,35,70,3,3,0.000024900027,PASSED
test36.in,36,36,72,2,2,0.000024080044,PASSED
test37.in,37,37,74,3,3,0.000026620040,PASSED
test38.in,38,38,76,2,2,0.000026039965,PASSED
test39.in,39,39,78,3,3,0.000026779994,PASSED
test40.in,40,40,80,2,2,0.000028369902,PASSED
test41.in,41,41,82,3,3,0.000045759836,PASSED
test42.in,42,42,84,2,2,0.000029470026,PASSED
test43.in,43,43,86,3,3,0.000028779963,PASSED
test44.in,44,44,88,2,2,0.000030220021,PASSED
test45.in,45,45,90,3,3,0.000030129962,PASSED
test46.in,46,46,92,2,2,0.000031749997,PASSED
test47.in,47,47,94,3,3,0.000031479960,PASSED
test48.in,48,48,96,2,2,0.000032560062,PASSED
test49.in,49,49,98,3,3,0.000034049992,PASSED
test50.in,50,50,100,2,2,0.000033750106,PASSED
test51.in,51,51,102,3,3,0.000033760024,PASSED
test52.in,52,52,104,2,2,0.000036329916,PASSED
test53.in,53,53,106,3,3,0.000034980057,PASSED
test54.in,54,54,108,2,2,0.000034649996,PASSED
test55.in,55,55,110,3,3,0.000036819978,PASSED
test56.in,56,56,112,2,2,0.000039049936,PASSED
test57.in,57,57,114,3,3,0.000037039910,PASSED
test58.in,58,58,116,2,2,0.000042929873,PASSED
test59.in,59,59,118,3,3,0.000039179903,PASSED
test60.in,60,60,120,2,2,0.000037849927,PASSED
test61.in,61,61,122,3,3,0.000040529994,PASSED
test62.in,62,62,124,2,2,0.000041670073,PASSED
test63.in,63,63,126,3,3,0.000043200003,PASSED
test64.in,64,64,128,2,2,0.000039599976,PASSED
test65.in,65,65,130,3,3,0.000045129936,PASSED
test66.in,66,66,132,2,2,0.000042479998,PASSED
test67.in,67,67,134,3,3,0.000046129897,PASSED
test68.in,68,68,136,2,2,0.000042570150,PASSED
test69.in,69,69,138,3,3,0.000046820007,PASSED
test70.in,70,70,140,2,2,0.000046680029,PASSED
test71.in,71,71,142,3,3,0.000049450062,PASSED
test72.in,72,72,144,2,2,0.000048369961,PASSED
test73.in,73,73,146,3,3,0.000049920008,PASSED
test74.in,74,74,148,2,2,0.000046260003,PASSED
test75.in,75,75,150,3,3,0.000051589916,PASSED
test76.in,76,76,152,2,2,0.000048020016,PASSED
test77.in,77,77,154,3,3,0.000049830042,PASSED
test78.in,78,78,156,2,2,0.000083129900,PASSED
test79.in,79,79,158,3,3,0.000052570039,PASSED
test80.in,80,80,160,2,2,0.000049360096,PASSED

Total tests passed: 80 / 80
Pass percentage: 100.00%
