Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test0.in | Backtracking | 9 | 9 | 0.000008914699 | PASSED | 3
test0.in | Welsh-Powell | 9 | 9 | 0.000006015100 | PASSED | 3
test0.in | Greedy | 9 | 9 | 0.000002561699 | PASSED | 3
test-1.in | Backtracking | 8 | 8 | 0.000003614899 | PASSED | 2
test-1.in | Welsh-Powell | 8 | 8 | 0.000004974001 | PASSED | 2
test-1.in | Greedy | 8 | 8 | 0.000002375000 | PASSED | 2
test1.in | Backtracking | 10 | 10 | 0.000004066400 | PASSED | 2
test1.in | Welsh-Powell | 10 | 10 | 0.000005858600 | PASSED | 2
test1.in | Greedy | 10 | 10 | 0.000002724400 | PASSED | 2
test-2.in | Backtracking | 7 | 7 | 0.000011108300 | PASSED | 3
test-2.in | Welsh-Powell | 7 | 7 | 0.000005695801 | PASSED | 3
test-2.in | Greedy | 7 | 7 | 0.000002153800 | PASSED | 3
test2.in | Backtracking | 11 | 11 | 0.000010399400 | PASSED | 3
test2.in | Welsh-Powell | 11 | 11 | 0.000007563701 | PASSED | 3
test2.in | Greedy | 11 | 11 | 0.000002793399 | PASSED | 3
test-3.in | Backtracking | 6 | 6 | 0.000002997300 | PASSED | 2
test-3.in | Welsh-Powell | 6 | 6 | 0.000005275200 | PASSED | 2
test-3.in | Greedy | 6 | 6 | 0.000001922400 | PASSED | 2
test3.in | Backtracking | 12 | 12 | 0.000004359200 | PASSED | 2
test3.in | Welsh-Powell | 12 | 12 | 0.000006291200 | PASSED | 2
test3.in | Greedy | 12 | 12 | 0.000003117100 | PASSED | 2
test-4.in | Backtracking | 5 | 5 | 0.000005435600 | PASSED | 3
test-4.in | Welsh-Powell | 5 | 5 | 0.000004541400 | PASSED | 3
test-4.in | Greedy | 5 | 5 | 0.000001926600 | PASSED | 3
test4.in | Backtracking | 13 | 13 | 0.000012054301 | PASSED | 3
test4.in | Welsh-Powell | 13 | 13 | 0.000015691400 | PASSED | 3
test4.in | Greedy | 13 | 13 | 0.000003306900 | PASSED | 3
test-5.in | Backtracking | 4 | 4 | 0.000002494900 | PASSED | 2
test-5.in | Welsh-Powell | 4 | 4 | 0.000003296700 | PASSED | 2
test-5.in | Greedy | 4 | 4 | 0.000001574000 | PASSED | 2
test5.in | Backtracking | 14 | 14 | 0.000005242301 | PASSED | 2
test5.in | Welsh-Powell | 14 | 14 | 0.000006852800 | PASSED | 2
test5.in | Greedy | 14 | 14 | 0.000003388500 | PASSED | 2
test-6.in | Backtracking | 3 | 3 | 0.000003740799 | PASSED | 3
test-6.in | Welsh-Powell | 3 | 3 | 0.000003336100 | PASSED | 3
test-6.in | Greedy | 3 | 3 | 0.000001347100 | PASSED | 3
test6.in | Backtracking | 15 | 15 | 0.000013791999 | PASSED | 3
test6.in | Welsh-Powell | 15 | 15 | 0.000007889299 | PASSED | 3
test6.in | Greedy | 15 | 15 | 0.000006792500 | PASSED | 3
test-7.in | Backtracking | 2 | 1 | 0.000001630500 | PASSED | 2
test-7.in | Welsh-Powell | 2 | 1 | 0.000003090000 | PASSED | 2
test-7.in | Greedy | 2 | 1 | 0.000001040100 | PASSED | 2
test7.in | Backtracking | 16 | 16 | 0.000005620000 | PASSED | 2
test7.in | Welsh-Powell | 16 | 16 | 0.000007633401 | PASSED | 2
test7.in | Greedy | 16 | 16 | 0.000003912700 | PASSED | 2
test-8.in | Backtracking | 1 | 1 | 0.000000912000 | PASSED | 1
test-8.in | Welsh-Powell | 1 | 1 | 0.000001473700 | PASSED | 1
