Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001030000,PASSED
test2.in,1,0,1,1,1,0.000001807800,PASSED
test3.in,1,0,1,1,1,0.000001035100,PASSED
test4.in,1,0,1,1,1,0.000000946300,PASSED
test5.in,1,0,1,1,1,0.000000825799,PASSED
test6.in,2,1,3,2,2,0.000001560601,PASSED
test7.in,2,1,3,2,2,0.000001843400,PASSED
test8.in,2,1,3,2,2,0.000001733800,PASSED
test9.in,2,1,3,2,2,0.000001701400,PASSED
test10.in,2,1,3,2,2,0.000001939700,PASSED
test11.in,3,3,6,3,3,0.000003596299,PASSED
test12.in,3,3,6,3,3,0.000003735199,PASSED
test13.in,3,2,5,2,2,0.000002338600,PASSED
test14.in,3,3,6,3,3,0.000003804000,PASSED
test15.in,3,3,6,3,3,0.000003853601,PASSED
test16.in,4,4,8,3,3,0.000004037099,PASSED
test17.in,4,6,10,4,4,0.000010892700,PASSED
test18.in,4,6,10,4,4,0.000012054499,PASSED
test19.in,4,6,10,4,4,0.000010898799,PASSED
test20.in,4,6,10,4,4,0.000024659300,PASSED
test21.in,5,7,12,3,3,0.000008375500,PASSED
test22.in,5,8,13,3,3,0.000005235700,PASSED
test23.in,5,9,14,4,4,0.000016580500,PASSED
test24.in,5,9,14,4,4,0.000013401901,PASSED
test25.in,5,10,15,5,5,0.000054252201,PASSED
test26.in,6,10,16,3,3,0.000007281900,PASSED
test27.in,6,13,19,4,4,0.000016327700,PASSED
test28.in,6,14,20,5,5,0.000054647901,PASSED
test29.in,6,15,21,6,6,0.000330622000,PASSED
test30.in,6,15,21,6,6,0.000332068700,PASSED
test31.in,7,16,23,4,4,0.000034217600,PASSED
test32.in,7,15,22,5,5,0.000334651200,PASSED
test33.in,7,19,26,6,6,0.000822032301,PASSED
test34.in,7,19,26,6,6,0.000708609400,PASSED
test35.in,7,21,28,7,7,0.002347372500,PASSED
test36.in,8,24,32,6,6,0.001120639400,PASSED
test37.in,8,18,26,4,4,0.000032390200,PASSED
test38.in,8,27,35,7,7,0.003062717200,PASSED
test39.in,8,23,31,5,5,0.000177816899,PASSED
test40.in,8,28,36,8,8,0.019873781200,PASSED
test41.in,9,26,35,5,5,0.000209160200,PASSED
test42.in,9,30,39,6,6,0.001448396300,PASSED
test43.in,9,30,39,6,6,0.001270285400,PASSED
test44.in,9,32,41,6,6,0.001624450200,PASSED
test45.in,9,36,45,9,9,0.192501590800,PASSED

Total tests passed: 45 / 45
Pass percentage: 100.00%
