Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001217800,PASSED
test2.in,1,0,1,1,1,0.000001594900,PASSED
test3.in,1,0,1,1,1,0.000000747800,PASSED
test4.in,1,0,1,1,1,0.000000572999,PASSED
test5.in,1,0,1,1,1,0.000000703600,PASSED
test6.in,2,1,3,2,2,0.000001044799,PASSED
test7.in,2,1,3,2,2,0.000000953400,PASSED
test8.in,2,1,3,2,2,0.000000926200,PASSED
test9.in,2,1,3,2,2,0.000001450400,PASSED
test10.in,2,1,3,2,2,0.000000950900,PASSED
test11.in,3,3,6,3,3,0.000001309601,PASSED
test12.in,3,3,6,3,3,0.000001309100,PASSED
test13.in,3,2,5,2,2,0.000004350500,PASSED
test14.in,3,3,6,3,3,0.000001287700,PASSED
test15.in,3,3,6,3,3,0.000001815700,PASSED
test16.in,4,4,8,3,3,0.000001559901,PASSED
test17.in,4,6,10,4,4,0.000001670500,PASSED
test18.in,4,6,10,4,4,0.000001688700,PASSED
test19.in,4,6,10,4,4,0.000006398101,PASSED
test20.in,4,6,10,4,4,0.000003830700,PASSED
test21.in,5,7,12,4,3,0.000002457801,FAILED
test22.in,5,8,13,3,3,0.000002481301,PASSED
test23.in,5,9,14,4,4,0.000002599799,PASSED
test24.in,5,9,14,4,4,0.000002348500,PASSED
test25.in,5,10,15,5,5,0.000002511299,PASSED
test26.in,6,10,16,3,3,0.000002417599,PASSED
test27.in,6,13,19,4,4,0.000002953401,PASSED
test28.in,6,14,20,5,5,0.000002997900,PASSED
test29.in,6,15,21,6,6,0.000003713200,PASSED
test30.in,6,15,21,6,6,0.000003639800,PASSED
test31.in,7,16,23,4,4,0.000003458000,PASSED
test32.in,7,15,22,5,5,0.000003529100,PASSED
test33.in,7,19,26,6,6,0.000004934100,PASSED
test34.in,7,19,26,6,6,0.000004028999,PASSED
test35.in,7,21,28,7,7,0.000004532300,PASSED
test36.in,8,24,32,6,6,0.000005091000,PASSED
test37.in,8,18,26,4,4,0.000003751099,PASSED
test38.in,8,27,35,7,7,0.000005209999,PASSED
test39.in,8,23,31,5,5,0.000004364800,PASSED
test40.in,8,28,36,8,8,0.000005469200,PASSED
test41.in,9,26,35,5,5,0.000004919301,PASSED
test42.in,9,30,39,6,6,0.000012594301,PASSED
test43.in,9,30,39,6,6,0.000005873500,PASSED
test44.in,9,32,41,6,6,0.000006024601,PASSED
test45.in,9,36,45,9,9,0.000006334300,PASSED

Total tests passed: 44 / 45
Pass percentage: 97.78%
