Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002160016,PASSED
test2.in,1,0,1,1,1,0.000003239932,PASSED
test3.in,1,0,1,1,1,0.000001509907,PASSED
test4.in,1,0,1,1,1,0.000001530023,PASSED
test5.in,1,0,1,1,1,0.000001640059,PASSED
test6.in,2,1,3,2,2,0.000002540043,PASSED
test7.in,2,1,3,2,2,0.000003380142,PASSED
test8.in,2,1,3,2,2,0.000003129942,PASSED
test9.in,2,1,3,2,2,0.000002689986,PASSED
test10.in,2,1,3,2,2,0.000003180047,PASSED
test11.in,3,3,6,3,3,0.000003920030,PASSED
test12.in,3,3,6,3,3,0.000003509969,PASSED
test13.in,3,3,6,3,3,0.000003669970,PASSED
test14.in,3,3,6,3,3,0.000004389975,PASSED
test15.in,3,3,6,3,3,0.000004659966,PASSED
test16.in,4,2,6,2,2,0.000004099961,PASSED
test17.in,4,5,9,3,3,0.000004590023,PASSED
test18.in,4,6,10,4,4,0.000005539926,PASSED
test19.in,4,6,10,4,4,0.000005200040,PASSED
test20.in,4,6,10,4,4,0.000006600097,PASSED
test21.in,5,7,12,3,3,0.000006040139,PASSED
test22.in,5,9,14,4,4,0.000006520003,PASSED
test23.in,5,9,14,4,4,0.000007800106,PASSED
test24.in,5,8,13,4,4,0.000007030088,PASSED
test25.in,5,10,15,5,5,0.000013560057,PASSED
test26.in,6,13,19,4,4,0.000008550007,PASSED
test27.in,6,13,19,5,5,0.000009099953,PASSED
test28.in,6,13,19,5,5,0.000013750093,PASSED
test29.in,6,14,20,5,5,0.000009430060,PASSED
test30.in,6,15,21,6,6,0.000010150019,PASSED
test31.in,7,12,19,4,4,0.000009800121,PASSED
test32.in,7,13,20,4,4,0.000008949963,PASSED
test33.in,7,20,27,6,6,0.000025800010,PASSED
test34.in,7,21,28,7,7,0.000014859997,PASSED
test35.in,7,21,28,7,7,0.000012970017,PASSED
test36.in,8,20,28,5,5,0.000011740020,PASSED
test37.in,8,18,26,5,5,0.000011930009,PASSED
test38.in,8,23,31,6,6,0.000014119968,PASSED
test39.in,8,27,35,7,7,0.000016420055,PASSED
test40.in,8,28,36,8,8,0.000015919935,PASSED
test41.in,9,27,36,5,5,0.000014429912,PASSED
test42.in,9,27,36,5,5,0.000013490114,PASSED
test43.in,9,30,39,6,6,0.000014300086,PASSED
test44.in,9,32,41,7,7,0.000018160092,PASSED
test45.in,9,36,45,9,9,0.000020040106,PASSED
test46.in,10,31,41,5,5,0.000018420024,PASSED
test47.in,10,37,47,6,6,0.000018319953,PASSED
test48.in,10,42,52,8,8,0.000024439907,PASSED
test49.in,10,42,52,8,8,0.000024170149,PASSED
test50.in,10,45,55,10,10,0.000025679963,PASSED

Total tests passed: 50 / 50
Pass percentage: 100.00%
