Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002100039,PASSED
test2.in,4,4,8,2,2,0.000004589930,PASSED
test3.in,9,12,21,2,2,0.000008419948,PASSED
test4.in,16,24,40,2,2,0.000013369927,PASSED
test5.in,25,40,65,2,2,0.000019709999,PASSED
test6.in,36,60,96,2,2,0.000028130040,PASSED
test7.in,49,84,133,2,2,0.000037649972,PASSED
test8.in,64,112,176,2,2,0.000048210006,PASSED
test9.in,81,144,225,2,2,0.000061409827,PASSED
test10.in,100,180,280,2,2,0.000075900042,PASSED
test11.in,121,220,341,2,2,0.000090580015,PASSED
test12.in,144,264,408,2,2,0.000102150068,PASSED
test13.in,169,312,481,2,2,0.000120179914,PASSED
test14.in,196,364,560,2,2,0.000145680038,PASSED
test15.in,225,420,645,2,2,0.000168040069,PASSED
test16.in,256,480,736,2,2,0.000182079943,PASSED
test17.in,289,544,833,2,2,0.000208119908,PASSED
test18.in,324,612,936,2,2,0.000229340093,PASSED
test19.in,361,684,1045,2,2,0.000272340048,PASSED
test20.in,400,760,1160,2,2,0.000285860011,PASSED
test21.in,441,840,1281,2,2,0.000308969989,PASSED
test22.in,484,924,1408,2,2,0.000340860104,PASSED
test23.in,529,1012,1541,2,2,0.000393970078,PASSED
test24.in,576,1104,1680,2,2,0.000423789956,PASSED
test25.in,625,1200,1825,2,2,0.000456949975,PASSED
test26.in,676,1300,1976,2,2,0.000471989997,PASSED
test27.in,729,1404,2133,2,2,0.000540659996,PASSED
test28.in,784,1512,2296,2,2,0.000548180006,PASSED
test29.in,841,1624,2465,2,2,0.000587310037,PASSED

Total tests passed: 29 / 29
Pass percentage: 100.00%
