Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test0.in | Backtracking | 4 | 4 | 0.000004713600 | PASSED | 2
test0.in | Welsh-Powell | 4 | 4 | 0.000005531300 | PASSED | 2
test0.in | Greedy | 4 | 4 | 0.000001471000 | PASSED | 2
test1.in | Backtracking | 9 | 12 | 0.000003972300 | PASSED | 2
test1.in | Welsh-Powell | 9 | 12 | 0.000017053100 | PASSED | 2
test1.in | Greedy | 9 | 12 | 0.000002939600 | PASSED | 2
test2.in | Backtracking | 16 | 24 | 0.000007411700 | PASSED | 2
test2.in | Welsh-Powell | 16 | 24 | 0.000045943400 | PASSED | 2
test2.in | Greedy | 16 | 24 | 0.000005039300 | PASSED | 2
test3.in | Backtracking | 25 | 40 | 0.000009305400 | PASSED | 2
test3.in | Welsh-Powell | 25 | 40 | 0.000103298500 | PASSED | 2
test3.in | Greedy | 25 | 40 | 0.000007345300 | PASSED | 2
test4.in | Backtracking | 36 | 60 | 0.000012326500 | PASSED | 2
test4.in | Welsh-Powell | 36 | 60 | 0.000210702300 | PASSED | 2
test4.in | Greedy | 36 | 60 | 0.000010860200 | PASSED | 2
test5.in | Backtracking | 49 | 84 | 0.000016498000 | PASSED | 2
test5.in | Welsh-Powell | 49 | 84 | 0.000464195600 | PASSED | 2
test5.in | Greedy | 49 | 84 | 0.000029615600 | PASSED | 2
test6.in | Backtracking | 64 | 112 | 0.000038189000 | PASSED | 2
test6.in | Welsh-Powell | 64 | 112 | 0.000831253099 | PASSED | 2
test6.in | Greedy | 64 | 112 | 0.000035617200 | PASSED | 2
test7.in | Backtracking | 81 | 144 | 0.000046949000 | PASSED | 2
test7.in | Welsh-Powell | 81 | 144 | 0.001614001000 | PASSED | 2
test7.in | Greedy | 81 | 144 | 0.000034506600 | PASSED | 2
test8.in | Backtracking | 100 | 180 | 0.000043258200 | PASSED | 2
test8.in | Welsh-Powell | 100 | 180 | 0.002094256000 | PASSED | 2
test8.in | Greedy | 100 | 180 | 0.000034791300 | PASSED | 2
test9.in | Backtracking | 121 | 220 | 0.000043648400 | PASSED | 2
test9.in | Welsh-Powell | 121 | 220 | 0.003045866700 | PASSED | 2
test9.in | Greedy | 121 | 220 | 0.000054466800 | PASSED | 2
test10.in | Backtracking | 144 | 264 | 0.000044794300 | PASSED | 2
test10.in | Welsh-Powell | 144 | 264 | 0.004113770500 | PASSED | 2
test10.in | Greedy | 144 | 264 | 0.000045016500 | PASSED | 2
test11.in | Backtracking | 169 | 312 | 0.000054842400 | PASSED | 2
test11.in | Welsh-Powell | 169 | 312 | 0.005861249901 | PASSED | 2
test11.in | Greedy | 169 | 312 | 0.000058795600 | PASSED | 2
test12.in | Backtracking | 196 | 364 | 0.000069173300 | PASSED | 2
test12.in | Welsh-Powell | 196 | 364 | 0.007380179701 | PASSED | 2
test12.in | Greedy | 196 | 364 | 0.000060013600 | PASSED | 2
test13.in | Backtracking | 225 | 420 | 0.000066882700 | PASSED | 2
test13.in | Welsh-Powell | 225 | 420 | 0.009427305000 | PASSED | 2
test13.in | Greedy | 225 | 420 | 0.000072025800 | PASSED | 2
test14.in | Backtracking | 256 | 480 | 0.000080913600 | PASSED | 2
test14.in | Welsh-Powell | 256 | 480 | 0.012161837000 | PASSED | 2
test14.in | Greedy | 256 | 480 | 0.000076545400 | PASSED | 2
test15.in | Backtracking | 289 | 544 | 0.000101245900 | PASSED | 2
test15.in | Welsh-Powell | 289 | 544 | 0.016939665400 | PASSED | 2
test15.in | Greedy | 289 | 544 | 0.000098230900 | PASSED | 2
test16.in | Backtracking | 324 | 612 | 0.000107537600 | PASSED | 2
test16.in | Welsh-Powell | 324 | 612 | 0.021896955800 | PASSED | 2
test16.in | Greedy | 324 | 612 | 0.000103957400 | PASSED | 2
test17.in | Backtracking | 361 | 684 | 0.000118108700 | PASSED | 2
test17.in | Welsh-Powell | 361 | 684 | 0.025276482100 | PASSED | 2
test17.in | Greedy | 361 | 684 | 0.000111671000 | PASSED | 2
