Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002849300,PASSED
test2.in,2,1,3,2,2,0.000003597200,PASSED
test3.in,3,2,5,2,2,0.000004829700,PASSED
test4.in,4,3,7,2,2,0.000006846700,PASSED
test5.in,5,4,9,2,2,0.000007702200,PASSED
test6.in,6,5,11,2,2,0.000014742500,PASSED
test7.in,7,6,13,2,2,0.000010836500,PASSED
test8.in,8,7,15,2,2,0.000012570000,PASSED
test9.in,9,8,17,2,2,0.000015600500,PASSED
test10.in,10,9,19,2,2,0.000019751100,PASSED
test11.in,11,10,21,2,2,0.000024617000,PASSED
test12.in,12,11,23,2,2,0.000026824400,PASSED
test13.in,13,12,25,2,2,0.000033303400,PASSED
test14.in,14,13,27,2,2,0.000036934100,PASSED
test15.in,15,14,29,2,2,0.000039400800,PASSED
test16.in,16,15,31,2,2,0.000043996100,PASSED
test17.in,17,16,33,2,2,0.000051190500,PASSED
test18.in,18,17,35,2,2,0.000055811700,PASSED
test19.in,19,18,37,2,2,0.000061273300,PASSED
test20.in,20,19,39,2,2,0.000069206600,PASSED
test21.in,21,20,41,2,2,0.000081893900,PASSED
test22.in,22,21,43,2,2,0.000105068800,PASSED
test23.in,23,22,45,2,2,0.000131903700,PASSED
test24.in,24,23,47,2,2,0.000147341700,PASSED
test25.in,25,24,49,2,2,0.000140732900,PASSED
test26.in,26,25,51,2,2,0.000128719100,PASSED
test27.in,27,26,53,2,2,0.000129201800,PASSED
test28.in,28,27,55,2,2,0.000130003300,PASSED
test29.in,29,28,57,2,2,0.000138496800,PASSED
test30.in,30,29,59,2,2,0.000149084201,PASSED
test31.in,31,30,61,2,2,0.000159698800,PASSED
test32.in,32,31,63,2,2,0.000166775600,PASSED
test33.in,33,32,65,2,2,0.000189394700,PASSED
test34.in,34,33,67,2,2,0.000192817200,PASSED
test35.in,35,34,69,2,2,0.000201233000,PASSED
test36.in,36,35,71,2,2,0.000214798500,PASSED
test37.in,37,36,73,2,2,0.000226864700,PASSED
test38.in,38,37,75,2,2,0.000239161000,PASSED
test39.in,39,38,77,2,2,0.000236888099,PASSED
test40.in,40,39,79,2,2,0.000253837999,PASSED
test41.in,41,40,81,2,2,0.000296135000,PASSED
test42.in,42,41,83,2,2,0.000277042600,PASSED
test43.in,43,42,85,2,2,0.000287041800,PASSED
test44.in,44,43,87,2,2,0.000311709100,PASSED
test45.in,45,44,89,2,2,0.000366749600,PASSED
test46.in,46,45,91,2,2,0.000349097800,PASSED
test47.in,47,46,93,2,2,0.000355789600,PASSED
test48.in,48,47,95,2,2,0.000367351600,PASSED
test49.in,49,48,97,2,2,0.000407452900,PASSED
