Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001120055 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000001519825 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000000950042 | PASSED | 1
test2.in | Backtracking | 2 | 1 | 0.000002099993 | PASSED | 2
test2.in | Welsh-Powell | 2 | 1 | 0.000002529984 | PASSED | 2
test2.in | Greedy | 2 | 1 | 0.000001439918 | PASSED | 2
test3.in | Backtracking | 3 | 2 | 0.000002549961 | PASSED | 2
test3.in | Welsh-Powell | 3 | 2 | 0.000003219955 | PASSED | 2
test3.in | Greedy | 3 | 2 | 0.000001589954 | PASSED | 2
test4.in | Backtracking | 4 | 3 | 0.000002609985 | PASSED | 2
test4.in | Welsh-Powell | 4 | 3 | 0.000003900006 | PASSED | 2
test4.in | Greedy | 4 | 3 | 0.000001989957 | PASSED | 2
test5.in | Backtracking | 5 | 4 | 0.000003359932 | PASSED | 2
test5.in | Welsh-Powell | 5 | 4 | 0.000004499871 | PASSED | 2
test5.in | Greedy | 5 | 4 | 0.000002319925 | PASSED | 2
test6.in | Backtracking | 6 | 5 | 0.000003329990 | PASSED | 2
test6.in | Welsh-Powell | 6 | 5 | 0.000005139969 | PASSED | 2
test6.in | Greedy | 6 | 5 | 0.000002429960 | PASSED | 2
test7.in | Backtracking | 7 | 6 | 0.000003590016 | PASSED | 2
test7.in | Welsh-Powell | 7 | 6 | 0.000006289966 | PASSED | 2
test7.in | Greedy | 7 | 6 | 0.000003470015 | PASSED | 2
test8.in | Backtracking | 8 | 7 | 0.000003990065 | PASSED | 2
test8.in | Welsh-Powell | 8 | 7 | 0.000006770110 | PASSED | 2
test8.in | Greedy | 8 | 7 | 0.000002920022 | PASSED | 2
test9.in | Backtracking | 9 | 8 | 0.000004279986 | PASSED | 2
test9.in | Welsh-Powell | 9 | 8 | 0.000007889932 | PASSED | 2
test9.in | Greedy | 9 | 8 | 0.000003240118 | PASSED | 2
test10.in | Backtracking | 10 | 9 | 0.000004599988 | PASSED | 2
test10.in | Welsh-Powell | 10 | 9 | 0.000009090034 | PASSED | 2
test10.in | Greedy | 10 | 9 | 0.000003969949 | PASSED | 2
test11.in | Backtracking | 11 | 10 | 0.000004959945 | PASSED | 2
test11.in | Welsh-Powell | 11 | 10 | 0.000009179953 | PASSED | 2
test11.in | Greedy | 11 | 10 | 0.000003960077 | PASSED | 2
test12.in | Backtracking | 12 | 11 | 0.000005310075 | PASSED | 2
test12.in | Welsh-Powell | 12 | 11 | 0.000008970080 | PASSED | 2
test12.in | Greedy | 12 | 11 | 0.000004299963 | PASSED | 2
test13.in | Backtracking | 13 | 12 | 0.000005660066 | PASSED | 2
test13.in | Welsh-Powell | 13 | 12 | 0.000009710062 | PASSED | 2
test13.in | Greedy | 13 | 12 | 0.000004390022 | PASSED | 2
test14.in | Backtracking | 14 | 13 | 0.000005950127 | PASSED | 2
test14.in | Welsh-Powell | 14 | 13 | 0.000010440033 | PASSED | 2
test14.in | Greedy | 14 | 13 | 0.000004810048 | PASSED | 2
test15.in | Backtracking | 15 | 14 | 0.000006140070 | PASSED | 2
test15.in | Welsh-Powell | 15 | 14 | 0.000011230027 | PASSED | 2
test15.in | Greedy | 15 | 14 | 0.000005189981 | PASSED | 2
test16.in | Backtracking | 16 | 15 | 0.000007030135 | PASSED | 2
test16.in | Welsh-Powell | 16 | 15 | 0.000011569960 | PASSED | 2
test16.in | Greedy | 16 | 15 | 0.000005309936 | PASSED | 2
test17.in | Backtracking | 17 | 16 | 0.000006939936 | PASSED | 2
test17.in | Welsh-Powell | 17 | 16 | 0.000012609875 | PASSED | 2
test17.in | Greedy | 17 | 16 | 0.000005630031 | PASSED | 2
test18.in | Backtracking | 18 | 17 | 0.000007369975 | PASSED | 2
test18.in | Welsh-Powell | 18 | 17 | 0.000014199875 | PASSED | 2
test18.in | Greedy | 18 | 17 | 0.000006120000 | PASSED | 2
test19.in | Backtracking | 19 | 18 | 0.000007450022 | PASSED | 2
test19.in | Welsh-Powell | 19 | 18 | 0.000013479963 | PASSED | 2
test19.in | Greedy | 19 | 18 | 0.000006229989 | PASSED | 2
test20.in | Backtracking | 20 | 19 | 0.000008100038 | PASSED | 2
test20.in | Welsh-Powell | 20 | 19 | 0.000014140038 | PASSED | 2
test20.in | Greedy | 20 | 19 | 0.000006630132 | PASSED | 2
test21.in | Backtracking | 21 | 20 | 0.000008070003 | PASSED | 2
test21.in | Welsh-Powell | 21 | 20 | 0.000014779950 | PASSED | 2
test21.in | Greedy | 21 | 20 | 0.000006680004 | PASSED | 2
test22.in | Backtracking | 22 | 21 | 0.000008849939 | PASSED | 2
test22.in | Welsh-Powell | 22 | 21 | 0.000015569944 | PASSED | 2
test22.in | Greedy | 22 | 21 | 0.000007070042 | PASSED | 2
test23.in | Backtracking | 23 | 22 | 0.000008789962 | PASSED | 2
test23.in | Welsh-Powell | 23 | 22 | 0.000016249996 | PASSED | 2
test23.in | Greedy | 23 | 22 | 0.000007399870 | PASSED | 2
test24.in | Backtracking | 24 | 23 | 0.000009069918 | PASSED | 2
test24.in | Welsh-Powell | 24 | 23 | 0.000016600033 | PASSED | 2
test24.in | Greedy | 24 | 23 | 0.000007630046 | PASSED | 2
test25.in | Backtracking | 25 | 24 | 0.000009640027 | PASSED | 2
test25.in | Welsh-Powell | 25 | 24 | 0.000017720042 | PASSED | 2
test25.in | Greedy | 25 | 24 | 0.000008230051 | PASSED | 2
test26.in | Backtracking | 26 | 25 | 0.000010760035 | PASSED | 2
test26.in | Welsh-Powell | 26 | 25 | 0.000031479914 | PASSED | 2
test26.in | Greedy | 26 | 25 | 0.000008399878 | PASSED | 2
test27.in | Backtracking | 27 | 26 | 0.000010359939 | PASSED | 2
test27.in | Welsh-Powell | 27 | 26 | 0.000018719910 | PASSED | 2
test27.in | Greedy | 27 | 26 | 0.000008669961 | PASSED | 2
test28.in | Backtracking | 28 | 27 | 0.000010390067 | PASSED | 2
test28.in | Welsh-Powell | 28 | 27 | 0.000019789953 | PASSED | 2
test28.in | Greedy | 28 | 27 | 0.000010300102 | PASSED | 2
test29.in | Backtracking | 29 | 28 | 0.000011179969 | PASSED | 2
test29.in | Welsh-Powell | 29 | 28 | 0.000020379899 | PASSED | 2
test29.in | Greedy | 29 | 28 | 0.000009879982 | PASSED | 2
test30.in | Backtracking | 30 | 29 | 0.000011170050 | PASSED | 2
test30.in | Welsh-Powell | 30 | 29 | 0.000022020051 | PASSED | 2
test30.in | Greedy | 30 | 29 | 0.000009159977 | PASSED | 2
test31.in | Backtracking | 31 | 30 | 0.000011310074 | PASSED | 2
test31.in | Welsh-Powell | 31 | 30 | 0.000020969985 | PASSED | 2
test31.in | Greedy | 31 | 30 | 0.000010040030 | PASSED | 2
test32.in | Backtracking | 32 | 31 | 0.000011680042 | PASSED | 2
test32.in | Welsh-Powell | 32 | 31 | 0.000030420022 | PASSED | 2
test32.in | Greedy | 32 | 31 | 0.000010550022 | PASSED | 2
test33.in | Backtracking | 33 | 32 | 0.000012529967 | PASSED | 2
test33.in | Welsh-Powell | 33 | 32 | 0.000022869976 | PASSED | 2
test33.in | Greedy | 33 | 32 | 0.000010659965 | PASSED | 2
test34.in | Backtracking | 34 | 33 | 0.000013079913 | PASSED | 2
test34.in | Welsh-Powell | 34 | 33 | 0.000022910023 | PASSED | 2
test34.in | Greedy | 34 | 33 | 0.000010680035 | PASSED | 2
test35.in | Backtracking | 35 | 34 | 0.000012520049 | PASSED | 2
test35.in | Welsh-Powell | 35 | 34 | 0.000024260022 | PASSED | 2
test35.in | Greedy | 35 | 34 | 0.000011129910 | PASSED | 2
test36.in | Backtracking | 36 | 35 | 0.000012879865 | PASSED | 2
test36.in | Welsh-Powell | 36 | 35 | 0.000024409965 | PASSED | 2
test36.in | Greedy | 36 | 35 | 0.000011890009 | PASSED | 2
test37.in | Backtracking | 37 | 36 | 0.000013619941 | PASSED | 2
test37.in | Welsh-Powell | 37 | 36 | 0.000025900034 | PASSED | 2
test37.in | Greedy | 37 | 36 | 0.000012089964 | PASSED | 2
test38.in | Backtracking | 38 | 37 | 0.000013580034 | PASSED | 2
test38.in | Welsh-Powell | 38 | 37 | 0.000025140028 | PASSED | 2
test38.in | Greedy | 38 | 37 | 0.000012000091 | PASSED | 2
test39.in | Backtracking | 39 | 38 | 0.000013600010 | PASSED | 2
test39.in | Welsh-Powell | 39 | 38 | 0.000029480085 | PASSED | 2
test39.in | Greedy | 39 | 38 | 0.000012800051 | PASSED | 2
test40.in | Backtracking | 40 | 39 | 0.000014570029 | PASSED | 2
test40.in | Welsh-Powell | 40 | 39 | 0.000026949961 | PASSED | 2
test40.in | Greedy | 40 | 39 | 0.000013059983 | PASSED | 2
test41.in | Backtracking | 41 | 40 | 0.000014150050 | PASSED | 2
test41.in | Welsh-Powell | 41 | 40 | 0.000027449988 | PASSED | 2
test41.in | Greedy | 41 | 40 | 0.000013509998 | PASSED | 2
test42.in | Backtracking | 42 | 41 | 0.000014909962 | PASSED | 2
test42.in | Welsh-Powell | 42 | 41 | 0.000028530043 | PASSED | 2
test42.in | Greedy | 42 | 41 | 0.000013379892 | PASSED | 2
test43.in | Backtracking | 43 | 42 | 0.000015740050 | PASSED | 2
test43.in | Welsh-Powell | 43 | 42 | 0.000029030023 | PASSED | 2
test43.in | Greedy | 43 | 42 | 0.000015019858 | PASSED | 2
test44.in | Backtracking | 44 | 43 | 0.000015299954 | PASSED | 2
test44.in | Welsh-Powell | 44 | 43 | 0.000029389979 | PASSED | 2
test44.in | Greedy | 44 | 43 | 0.000013389904 | PASSED | 2
test45.in | Backtracking | 45 | 44 | 0.000015750108 | PASSED | 2
test45.in | Welsh-Powell | 45 | 44 | 0.000041040126 | PASSED | 2
test45.in | Greedy | 45 | 44 | 0.000015299954 | PASSED | 2
test46.in | Backtracking | 46 | 45 | 0.000015879935 | PASSED | 2
test46.in | Welsh-Powell | 46 | 45 | 0.000031300075 | PASSED | 2
test46.in | Greedy | 46 | 45 | 0.000015479978 | PASSED | 2
