Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001089900,PASSED
test2.in,1,0,1,1,1,0.000000975100,PASSED
test3.in,1,0,1,1,1,0.000001444700,PASSED
test4.in,1,0,1,1,1,0.000001661700,PASSED
test5.in,1,0,1,1,1,0.000000831001,PASSED
test11.in,2,1,3,2,2,0.000001823600,PASSED
test12.in,2,0,2,1,1,0.000001106100,PASSED
test13.in,2,1,3,2,2,0.000001986700,PASSED
test14.in,2,1,3,2,2,0.000001712800,PASSED
test15.in,2,1,3,2,2,0.000001747200,PASSED
test21.in,3,1,4,2,2,0.000002053000,PASSED
test22.in,3,3,6,3,3,0.000003941900,PASSED
test23.in,3,3,6,3,3,0.000004057200,PASSED
test24.in,3,3,6,3,3,0.000004001700,PASSED
test25.in,3,3,6,3,3,0.000004106700,PASSED
test31.in,4,3,7,2,2,0.000002295800,PASSED
test32.in,4,3,7,2,2,0.000002459800,PASSED
test33.in,4,5,9,3,3,0.000004424600,PASSED
test34.in,4,6,10,4,4,0.000012307400,PASSED
test35.in,4,6,10,4,4,0.000012493500,PASSED
test41.in,5,5,10,3,3,0.000006489900,PASSED
test42.in,5,4,9,2,2,0.000002728300,PASSED
test43.in,5,9,14,4,4,0.000016014600,PASSED
test44.in,5,9,14,4,4,0.000019100900,PASSED
test45.in,5,10,15,5,5,0.000053833100,PASSED
test51.in,6,8,14,3,3,0.000005516400,PASSED
test52.in,6,12,18,4,4,0.000014219900,PASSED
test53.in,6,11,17,4,4,0.000019513800,PASSED
test54.in,6,14,20,5,5,0.000069228300,PASSED
test55.in,6,15,21,6,6,0.000398614300,PASSED
test61.in,7,10,17,3,3,0.000010956100,PASSED
test62.in,7,13,20,4,4,0.000049487600,PASSED
test63.in,7,17,24,5,5,0.000246702200,PASSED
test64.in,7,16,23,4,4,0.000015964400,PASSED
test65.in,7,21,28,7,7,0.002753536700,PASSED
test71.in,8,15,23,4,4,0.000031778200,PASSED
test72.in,8,19,27,4,4,0.000045172700,PASSED
test73.in,8,23,31,6,6,0.000633228800,PASSED
test74.in,8,26,34,7,7,0.007207054400,PASSED
test75.in,8,28,36,8,8,0.020666930300,PASSED
test81.in,9,23,32,5,5,0.000185388300,PASSED
test82.in,9,20,29,4,4,0.000042171400,PASSED
test83.in,9,28,37,5,5,0.000108062000,PASSED
test84.in,9,33,42,7,7,0.007838817100,PASSED
test85.in,9,36,45,9,9,0.187705863700,PASSED
