Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000000667000,PASSED
test2.in,1,0,1,1,1,0.000000621300,PASSED
test3.in,1,0,1,1,1,0.000000680200,PASSED
test4.in,1,0,1,1,1,0.000000674300,PASSED
test5.in,1,0,1,1,1,0.000001696500,PASSED
test11.in,2,1,3,2,2,0.000000952800,PASSED
test12.in,2,0,2,1,1,0.000000935200,PASSED
test13.in,2,1,3,2,2,0.000000907000,PASSED
test14.in,2,1,3,2,2,0.000000912500,PASSED
test15.in,2,1,3,2,2,0.000001022900,PASSED
test21.in,3,1,4,2,2,0.000001217000,PASSED
test22.in,3,3,6,3,3,0.000001249300,PASSED
test23.in,3,3,6,3,3,0.000001365700,PASSED
test24.in,3,3,6,3,3,0.000001481700,PASSED
test25.in,3,3,6,3,3,0.000001486700,PASSED
test31.in,4,3,7,2,2,0.000001966700,PASSED
test32.in,4,3,7,2,2,0.000001347001,PASSED
test33.in,4,5,9,3,3,0.000001609600,PASSED
test34.in,4,6,10,4,4,0.000001776900,PASSED
test35.in,4,6,10,4,4,0.000001805800,PASSED
test41.in,5,5,10,3,3,0.000001804900,PASSED
test42.in,5,4,9,2,2,0.000001528300,PASSED
test43.in,5,9,14,4,4,0.000002120900,PASSED
test44.in,5,9,14,4,4,0.000002179800,PASSED
test45.in,5,10,15,5,5,0.000002261800,PASSED
test51.in,6,8,14,3,3,0.000002286500,PASSED
test52.in,6,12,18,4,4,0.000002501400,PASSED
test53.in,6,11,17,4,4,0.000005604701,PASSED
test54.in,6,14,20,5,5,0.000002910400,PASSED
test55.in,6,15,21,6,6,0.000004073800,PASSED
test61.in,7,10,17,3,3,0.000003050500,PASSED
test62.in,7,13,20,5,4,0.000003376700,FAILED
test63.in,7,17,24,5,5,0.000003584800,PASSED
test64.in,7,16,23,4,4,0.000003305900,PASSED
test65.in,7,21,28,7,7,0.000004864600,PASSED
test71.in,8,15,23,4,4,0.000003526700,PASSED
test72.in,8,19,27,5,4,0.000003860101,FAILED
test73.in,8,23,31,6,6,0.000004472400,PASSED
test74.in,8,26,34,7,7,0.000005926100,PASSED
test75.in,8,28,36,8,8,0.000005208300,PASSED
test81.in,9,23,32,5,5,0.000004142400,PASSED
test82.in,9,20,29,4,4,0.000003875400,PASSED
test83.in,9,28,37,5,5,0.000004661200,PASSED
test84.in,9,33,42,7,7,0.000005964100,PASSED
test85.in,9,36,45,9,9,0.000006092200,PASSED
