Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002425700,PASSED
test2.in,1,0,1,1,1,0.000002277900,PASSED
test3.in,1,0,1,1,1,0.000002415700,PASSED
test4.in,1,0,1,1,1,0.000002579100,PASSED
test5.in,1,0,1,1,1,0.000002344500,PASSED
test11.in,2,1,3,2,2,0.000003315300,PASSED
test12.in,2,0,2,1,1,0.000002905600,PASSED
test13.in,2,1,3,2,2,0.000003232900,PASSED
test14.in,2,1,3,2,2,0.000003562700,PASSED
test15.in,2,1,3,2,2,0.000003025200,PASSED
test21.in,3,1,4,2,2,0.000004611700,PASSED
test22.in,3,3,6,3,3,0.000004057500,PASSED
test23.in,3,3,6,3,3,0.000004524600,PASSED
test24.in,3,3,6,3,3,0.000004447800,PASSED
test25.in,3,3,6,3,3,0.000004415400,PASSED
test31.in,4,3,7,2,2,0.000004919100,PASSED
test32.in,4,3,7,2,2,0.000005175100,PASSED
test33.in,4,5,9,3,3,0.000005174200,PASSED
test34.in,4,6,10,4,4,0.000004852400,PASSED
test35.in,4,6,10,4,4,0.000005639000,PASSED
test41.in,5,5,10,3,3,0.000006760300,PASSED
test42.in,5,4,9,2,2,0.000006497200,PASSED
test43.in,5,9,14,4,4,0.000006276700,PASSED
test44.in,5,9,14,4,4,0.000019496100,PASSED
test45.in,5,10,15,5,5,0.000006374100,PASSED
test51.in,6,8,14,3,3,0.000008497500,PASSED
test52.in,6,12,18,4,4,0.000007534900,PASSED
test53.in,6,11,17,4,4,0.000008111700,PASSED
test54.in,6,14,20,5,5,0.000009573900,PASSED
test55.in,6,15,21,6,6,0.000011114300,PASSED
test61.in,7,10,17,3,3,0.000013032999,PASSED
test62.in,7,13,20,4,4,0.000012768200,PASSED
test63.in,7,17,24,5,5,0.000010262100,PASSED
test64.in,7,16,23,4,4,0.000011242900,PASSED
test65.in,7,21,28,7,7,0.000011637300,PASSED
test71.in,8,15,23,4,4,0.000013411900,PASSED
test72.in,8,19,27,5,4,0.000013026499,FAILED
test73.in,8,23,31,6,6,0.000012340700,PASSED
test74.in,8,26,34,7,7,0.000011698100,PASSED
test75.in,8,28,36,8,8,0.000011530400,PASSED
test81.in,9,23,32,5,5,0.000016397800,PASSED
test82.in,9,20,29,4,4,0.000014024300,PASSED
test83.in,9,28,37,5,5,0.000012780200,PASSED
test84.in,9,33,42,7,7,0.000016126000,PASSED
test85.in,9,36,45,9,9,0.000014708900,PASSED
