Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001089900 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000002425700 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000000667000 | PASSED | 1
test2.in | Backtracking | 1 | 0 | 0.000000975100 | PASSED | 1
test2.in | Welsh-Powell | 1 | 0 | 0.000002277900 | PASSED | 1
test2.in | Greedy | 1 | 0 | 0.000000621300 | PASSED | 1
test3.in | Backtracking | 1 | 0 | 0.000001444700 | PASSED | 1
test3.in | Welsh-Powell | 1 | 0 | 0.000002415700 | PASSED | 1
test3.in | Greedy | 1 | 0 | 0.000000680200 | PASSED | 1
test4.in | Backtracking | 1 | 0 | 0.000001661700 | PASSED | 1
test4.in | Welsh-Powell | 1 | 0 | 0.000002579100 | PASSED | 1
test4.in | Greedy | 1 | 0 | 0.000000674300 | PASSED | 1
test5.in | Backtracking | 1 | 0 | 0.000000831001 | PASSED | 1
test5.in | Welsh-Powell | 1 | 0 | 0.000002344500 | PASSED | 1
test5.in | Greedy | 1 | 0 | 0.000001696500 | PASSED | 1
test11.in | Backtracking | 2 | 1 | 0.000001823600 | PASSED | 2
test11.in | Welsh-Powell | 2 | 1 | 0.000003315300 | PASSED | 2
test11.in | Greedy | 2 | 1 | 0.000000952800 | PASSED | 2
test12.in | Backtracking | 2 | 0 | 0.000001106100 | PASSED | 1
test12.in | Welsh-Powell | 2 | 0 | 0.000002905600 | PASSED | 1
test12.in | Greedy | 2 | 0 | 0.000000935200 | PASSED | 1
test13.in | Backtracking | 2 | 1 | 0.000001986700 | PASSED | 2
test13.in | Welsh-Powell | 2 | 1 | 0.000003232900 | PASSED | 2
test13.in | Greedy | 2 | 1 | 0.000000907000 | PASSED | 2
test14.in | Backtracking | 2 | 1 | 0.000001712800 | PASSED | 2
test14.in | Welsh-Powell | 2 | 1 | 0.000003562700 | PASSED | 2
test14.in | Greedy | 2 | 1 | 0.000000912500 | PASSED | 2
test15.in | Backtracking | 2 | 1 | 0.000001747200 | PASSED | 2
test15.in | Welsh-Powell | 2 | 1 | 0.000003025200 | PASSED | 2
test15.in | Greedy | 2 | 1 | 0.000001022900 | PASSED | 2
test21.in | Backtracking | 3 | 1 | 0.000002053000 | PASSED | 2
test21.in | Welsh-Powell | 3 | 1 | 0.000004611700 | PASSED | 2
test21.in | Greedy | 3 | 1 | 0.000001217000 | PASSED | 2
