Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001450023,PASSED
test2.in,1,0,1,1,1,0.000001189951,PASSED
test3.in,1,0,1,1,1,0.000000969972,PASSED
test4.in,1,0,1,1,1,0.000001109950,PASSED
test5.in,1,0,1,1,1,0.000000950042,PASSED
test6.in,2,0,2,1,1,0.000001639919,PASSED
test7.in,2,0,2,1,1,0.000001200056,PASSED
test8.in,2,0,2,1,1,0.000001169974,PASSED
test9.in,2,0,2,1,1,0.000001169974,PASSED
test10.in,2,1,3,2,2,0.000002720021,PASSED
test11.in,3,0,3,1,1,0.000001759920,PASSED
test12.in,3,0,3,1,1,0.000001659989,PASSED
test13.in,3,0,3,1,1,0.000001579989,PASSED
test14.in,3,1,4,2,2,0.000002639927,PASSED
test15.in,3,1,4,2,2,0.000002340041,PASSED
test16.in,4,0,4,1,1,0.000001809979,PASSED
test17.in,4,0,4,1,1,0.000001790049,PASSED
test18.in,4,1,5,2,2,0.000003059953,PASSED
test19.in,4,3,7,3,3,0.000007679965,PASSED
test20.in,4,4,8,3,3,0.000007679965,PASSED
test21.in,5,1,6,2,2,0.000002970081,PASSED
test22.in,5,2,7,2,2,0.000003820006,PASSED
test23.in,5,2,7,2,2,0.000003829878,PASSED
test24.in,5,5,10,3,3,0.000009359978,PASSED
test25.in,5,4,9,3,3,0.000021670153,PASSED
test26.in,6,1,7,2,2,0.000009020045,PASSED
test27.in,6,2,8,2,2,0.000008230051,PASSED
test28.in,6,4,10,3,3,0.000017430075,PASSED
test29.in,6,3,9,2,2,0.000003709923,PASSED
test30.in,6,3,9,2,2,0.000003820146,PASSED
test31.in,7,1,8,2,2,0.000003999937,PASSED
test32.in,7,3,10,2,2,0.000004329951,PASSED
test33.in,7,5,12,2,2,0.000003550062,PASSED
test34.in,7,7,14,3,3,0.000012100022,PASSED
test35.in,7,8,15,3,3,0.000011810008,PASSED
test36.in,8,5,13,2,2,0.000003729947,PASSED
test37.in,8,1,9,2,2,0.000004109973,PASSED
test38.in,8,4,12,2,2,0.000004629930,PASSED
test39.in,8,11,19,3,3,0.000009690039,PASSED
test40.in,8,14,22,3,3,0.000012310036,PASSED
test41.in,9,5,14,2,2,0.000005170098,PASSED
test42.in,9,8,17,3,3,0.000014739949,PASSED
test43.in,9,15,24,3,3,0.000023380062,PASSED
test44.in,9,8,17,3,3,0.000020829914,PASSED
test45.in,9,11,20,3,3,0.000026140129,PASSED
test46.in,10,4,14,3,3,0.000012320001,PASSED
test47.in,10,10,20,3,3,0.000012259977,PASSED
test48.in,10,10,20,3,3,0.000033400021,PASSED
test49.in,10,11,21,3,3,0.000016829930,PASSED
test50.in,10,19,29,3,3,0.000045609986,PASSED

Total tests passed: 50 / 50
Pass percentage: 100.00%
