Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000001269951,PASSED
test2.in,1,0,1,1,1,0.000001029950,PASSED
test3.in,1,0,1,1,1,0.000001360010,PASSED
test4.in,1,0,1,1,1,0.000001010066,PASSED
test5.in,1,0,1,1,1,0.000000909856,PASSED
test6.in,2,0,2,1,1,0.000001250021,PASSED
test7.in,2,0,2,1,1,0.000001099985,PASSED
test8.in,2,0,2,1,1,0.000001090020,PASSED
test9.in,2,0,2,1,1,0.000001119962,PASSED
test10.in,2,1,3,2,2,0.000001499942,PASSED
test11.in,3,0,3,1,1,0.000001590094,PASSED
test12.in,3,0,3,1,1,0.000001429906,PASSED
test13.in,3,0,3,1,1,0.000001429953,PASSED
test14.in,3,1,4,2,2,0.000001750141,PASSED
test15.in,3,1,4,2,2,0.000001919921,PASSED
test16.in,4,0,4,1,1,0.000001529977,PASSED
test17.in,4,0,4,1,1,0.000002099946,PASSED
test18.in,4,1,5,2,2,0.000001899851,PASSED
test19.in,4,3,7,3,3,0.000002400018,PASSED
test20.in,4,4,8,3,3,0.000002270052,PASSED
test21.in,5,1,6,2,2,0.000002130074,PASSED
test22.in,5,2,7,2,2,0.000002150005,PASSED
test23.in,5,2,7,2,2,0.000002290029,PASSED
test24.in,5,5,10,3,3,0.000002469961,PASSED
test25.in,5,4,9,3,3,0.000002580043,PASSED
test26.in,6,1,7,2,2,0.000006410014,PASSED
test27.in,6,2,8,2,2,0.000002379948,PASSED
test28.in,6,4,10,3,3,0.000002560019,PASSED
test29.in,6,3,9,2,2,0.000002700044,PASSED
test30.in,6,3,9,2,2,0.000002380041,PASSED
test31.in,7,1,8,2,2,0.000002419855,PASSED
test32.in,7,3,10,2,2,0.000002609938,PASSED
test33.in,7,5,12,2,2,0.000002739951,PASSED
test34.in,7,7,14,3,3,0.000002960069,PASSED
test35.in,7,8,15,3,3,0.000003079977,PASSED
test36.in,8,5,13,2,2,0.000002930081,PASSED
test37.in,8,1,9,2,2,0.000002520066,PASSED
test38.in,8,4,12,2,2,0.000003639981,PASSED
test39.in,8,11,19,4,3,0.000003919937,FAILED
test40.in,8,14,22,3,3,0.000003880123,PASSED
test41.in,9,5,14,2,2,0.000003260002,PASSED
test42.in,9,8,17,3,3,0.000003380002,PASSED
test43.in,9,15,24,4,3,0.000004200032,FAILED
test44.in,9,8,17,3,3,0.000003620004,PASSED
test45.in,9,11,20,4,3,0.000003709970,FAILED
test46.in,10,4,14,3,3,0.000003439980,PASSED
test47.in,10,10,20,3,3,0.000004000030,PASSED
test48.in,10,10,20,3,3,0.000003820099,PASSED
test49.in,10,11,21,3,3,0.000003939960,PASSED
test50.in,10,19,29,4,3,0.000004540198,FAILED

Total tests passed: 46 / 50
Pass percentage: 92.00%
