Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000002129888,PASSED
test2.in,1,0,1,1,1,0.000001660129,PASSED
test3.in,1,0,1,1,1,0.000001419988,PASSED
test4.in,1,0,1,1,1,0.000001840014,PASSED
test5.in,1,0,1,1,1,0.000001430046,PASSED
test6.in,2,0,2,1,1,0.000002519879,PASSED
test7.in,2,0,2,1,1,0.000002199970,PASSED
test8.in,2,0,2,1,1,0.000002209982,PASSED
test9.in,2,0,2,1,1,0.000002320018,PASSED
test10.in,2,1,3,2,2,0.000003160071,PASSED
test11.in,3,0,3,1,1,0.000002880022,PASSED
test12.in,3,0,3,1,1,0.000003320072,PASSED
test13.in,3,0,3,1,1,0.000002520112,PASSED
test14.in,3,1,4,2,2,0.000003059953,PASSED
test15.in,3,1,4,2,2,0.000002810080,PASSED
test16.in,4,0,4,1,1,0.000003110059,PASSED
test17.in,4,0,4,1,1,0.000003030011,PASSED
test18.in,4,1,5,2,2,0.000003990065,PASSED
test19.in,4,3,7,3,3,0.000004709978,PASSED
test20.in,4,4,8,3,3,0.000004829979,PASSED
test21.in,5,1,6,2,2,0.000004159985,PASSED
test22.in,5,2,7,2,2,0.000005290098,PASSED
test23.in,5,2,7,2,2,0.000004430115,PASSED
test24.in,5,5,10,3,3,0.000004939968,PASSED
test25.in,5,4,9,3,3,0.000008370029,PASSED
test26.in,6,1,7,2,2,0.000004729955,PASSED
test27.in,6,2,8,2,2,0.000006050104,PASSED
test28.in,6,4,10,3,3,0.000005439995,PASSED
test29.in,6,3,9,2,2,0.000006049918,PASSED
test30.in,6,3,9,2,2,0.000005050050,PASSED
test31.in,7,1,8,2,2,0.000004609954,PASSED
test32.in,7,3,10,2,2,0.000005019922,PASSED
test33.in,7,5,12,2,2,0.000005490147,PASSED
test34.in,7,7,14,3,3,0.000005969964,PASSED
test35.in,7,8,15,3,3,0.000005969964,PASSED
test36.in,8,5,13,2,2,0.000006060069,PASSED
test37.in,8,1,9,2,2,0.000004859967,PASSED
test38.in,8,4,12,2,2,0.000005500019,PASSED
test39.in,8,11,19,3,3,0.000009339955,PASSED
test40.in,8,14,22,4,3,0.000009449990,FAILED
test41.in,9,5,14,2,2,0.000006849878,PASSED
test42.in,9,8,17,3,3,0.000007289974,PASSED
test43.in,9,15,24,3,3,0.000009090081,PASSED
test44.in,9,8,17,3,3,0.000007960107,PASSED
test45.in,9,11,20,3,3,0.000008029956,PASSED
test46.in,10,4,14,3,3,0.000006919913,PASSED
test47.in,10,10,20,3,3,0.000009099999,PASSED
test48.in,10,10,20,3,3,0.000009119976,PASSED
test49.in,10,11,21,3,3,0.000009079976,PASSED
test50.in,10,19,29,3,3,0.000010110065,PASSED

Total tests passed: 49 / 50
Pass percentage: 98.00%
