Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001450023 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000002129888 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000001269951 | PASSED | 1
test2.in | Backtracking | 1 | 0 | 0.000001189951 | PASSED | 1
test2.in | Welsh-Powell | 1 | 0 | 0.000001660129 | PASSED | 1
test2.in | Greedy | 1 | 0 | 0.000001029950 | PASSED | 1
test3.in | Backtracking | 1 | 0 | 0.000000969972 | PASSED | 1
test3.in | Welsh-Powell | 1 | 0 | 0.000001419988 | PASSED | 1
test3.in | Greedy | 1 | 0 | 0.000001360010 | PASSED | 1
test4.in | Backtracking | 1 | 0 | 0.000001109950 | PASSED | 1
test4.in | Welsh-Powell | 1 | 0 | 0.000001840014 | PASSED | 1
test4.in | Greedy | 1 | 0 | 0.000001010066 | PASSED | 1
test5.in | Backtracking | 1 | 0 | 0.000000950042 | PASSED | 1
test5.in | Welsh-Powell | 1 | 0 | 0.000001430046 | PASSED | 1
test5.in | Greedy | 1 | 0 | 0.000000909856 | PASSED | 1
test6.in | Backtracking | 2 | 0 | 0.000001639919 | PASSED | 1
test6.in | Welsh-Powell | 2 | 0 | 0.000002519879 | PASSED | 1
test6.in | Greedy | 2 | 0 | 0.000001250021 | PASSED | 1
test7.in | Backtracking | 2 | 0 | 0.000001200056 | PASSED | 1
test7.in | Welsh-Powell | 2 | 0 | 0.000002199970 | PASSED | 1
test7.in | Greedy | 2 | 0 | 0.000001099985 | PASSED | 1
test8.in | Backtracking | 2 | 0 | 0.000001169974 | PASSED | 1
test8.in | Welsh-Powell | 2 | 0 | 0.000002209982 | PASSED | 1
test8.in | Greedy | 2 | 0 | 0.000001090020 | PASSED | 1
test9.in | Backtracking | 2 | 0 | 0.000001169974 | PASSED | 1
test9.in | Welsh-Powell | 2 | 0 | 0.000002320018 | PASSED | 1
test9.in | Greedy | 2 | 0 | 0.000001119962 | PASSED | 1
test10.in | Backtracking | 2 | 1 | 0.000002720021 | PASSED | 2
test10.in | Welsh-Powell | 2 | 1 | 0.000003160071 | PASSED | 2
test10.in | Greedy | 2 | 1 | 0.000001499942 | PASSED | 2
test11.in | Backtracking | 3 | 0 | 0.000001759920 | PASSED | 1
test11.in | Welsh-Powell | 3 | 0 | 0.000002880022 | PASSED | 1
test11.in | Greedy | 3 | 0 | 0.000001590094 | PASSED | 1
test12.in | Backtracking | 3 | 0 | 0.000001659989 | PASSED | 1
test12.in | Welsh-Powell | 3 | 0 | 0.000003320072 | PASSED | 1
test12.in | Greedy | 3 | 0 | 0.000001429906 | PASSED | 1
test13.in | Backtracking | 3 | 0 | 0.000001579989 | PASSED | 1
test13.in | Welsh-Powell | 3 | 0 | 0.000002520112 | PASSED | 1
test13.in | Greedy | 3 | 0 | 0.000001429953 | PASSED | 1
test14.in | Backtracking | 3 | 1 | 0.000002639927 | PASSED | 2
test14.in | Welsh-Powell | 3 | 1 | 0.000003059953 | PASSED | 2
test14.in | Greedy | 3 | 1 | 0.000001750141 | PASSED | 2
test15.in | Backtracking | 3 | 1 | 0.000002340041 | PASSED | 2
test15.in | Welsh-Powell | 3 | 1 | 0.000002810080 | PASSED | 2
test15.in | Greedy | 3 | 1 | 0.000001919921 | PASSED | 2
test16.in | Backtracking | 4 | 0 | 0.000001809979 | PASSED | 1
test16.in | Welsh-Powell | 4 | 0 | 0.000003110059 | PASSED | 1
test16.in | Greedy | 4 | 0 | 0.000001529977 | PASSED | 1
test17.in | Backtracking | 4 | 0 | 0.000001790049 | PASSED | 1
test17.in | Welsh-Powell | 4 | 0 | 0.000003030011 | PASSED | 1
test17.in | Greedy | 4 | 0 | 0.000002099946 | PASSED | 1
test18.in | Backtracking | 4 | 1 | 0.000003059953 | PASSED | 2
test18.in | Welsh-Powell | 4 | 1 | 0.000003990065 | PASSED | 2
test18.in | Greedy | 4 | 1 | 0.000001899851 | PASSED | 2
test19.in | Backtracking | 4 | 3 | 0.000007679965 | PASSED | 3
test19.in | Welsh-Powell | 4 | 3 | 0.000004709978 | PASSED | 3
test19.in | Greedy | 4 | 3 | 0.000002400018 | PASSED | 3
test20.in | Backtracking | 4 | 4 | 0.000007679965 | PASSED | 3
test20.in | Welsh-Powell | 4 | 4 | 0.000004829979 | PASSED | 3
test20.in | Greedy | 4 | 4 | 0.000002270052 | PASSED | 3
test21.in | Backtracking | 5 | 1 | 0.000002970081 | PASSED | 2
test21.in | Welsh-Powell | 5 | 1 | 0.000004159985 | PASSED | 2
test21.in | Greedy | 5 | 1 | 0.000002130074 | PASSED | 2
test22.in | Backtracking | 5 | 2 | 0.000003820006 | PASSED | 2
test22.in | Welsh-Powell | 5 | 2 | 0.000005290098 | PASSED | 2
test22.in | Greedy | 5 | 2 | 0.000002150005 | PASSED | 2
test23.in | Backtracking | 5 | 2 | 0.000003829878 | PASSED | 2
test23.in | Welsh-Powell | 5 | 2 | 0.000004430115 | PASSED | 2
test23.in | Greedy | 5 | 2 | 0.000002290029 | PASSED | 2
test24.in | Backtracking | 5 | 5 | 0.000009359978 | PASSED | 3
test24.in | Welsh-Powell | 5 | 5 | 0.000004939968 | PASSED | 3
test24.in | Greedy | 5 | 5 | 0.000002469961 | PASSED | 3
test25.in | Backtracking | 5 | 4 | 0.000021670153 | PASSED | 3
test25.in | Welsh-Powell | 5 | 4 | 0.000008370029 | PASSED | 3
test25.in | Greedy | 5 | 4 | 0.000002580043 | PASSED | 3
test26.in | Backtracking | 6 | 1 | 0.000009020045 | PASSED | 2
test26.in | Welsh-Powell | 6 | 1 | 0.000004729955 | PASSED | 2
test26.in | Greedy | 6 | 1 | 0.000006410014 | PASSED | 2
test27.in | Backtracking | 6 | 2 | 0.000008230051 | PASSED | 2
test27.in | Welsh-Powell | 6 | 2 | 0.000006050104 | PASSED | 2
test27.in | Greedy | 6 | 2 | 0.000002379948 | PASSED | 2
test28.in | Backtracking | 6 | 4 | 0.000017430075 | PASSED | 3
test28.in | Welsh-Powell | 6 | 4 | 0.000005439995 | PASSED | 3
test28.in | Greedy | 6 | 4 | 0.000002560019 | PASSED | 3
test29.in | Backtracking | 6 | 3 | 0.000003709923 | PASSED | 2
test29.in | Welsh-Powell | 6 | 3 | 0.000006049918 | PASSED | 2
test29.in | Greedy | 6 | 3 | 0.000002700044 | PASSED | 2
test30.in | Backtracking | 6 | 3 | 0.000003820146 | PASSED | 2
test30.in | Welsh-Powell | 6 | 3 | 0.000005050050 | PASSED | 2
test30.in | Greedy | 6 | 3 | 0.000002380041 | PASSED | 2
test31.in | Backtracking | 7 | 1 | 0.000003999937 | PASSED | 2
test31.in | Welsh-Powell | 7 | 1 | 0.000004609954 | PASSED | 2
test31.in | Greedy | 7 | 1 | 0.000002419855 | PASSED | 2
test32.in | Backtracking | 7 | 3 | 0.000004329951 | PASSED | 2
test32.in | Welsh-Powell | 7 | 3 | 0.000005019922 | PASSED | 2
test32.in | Greedy | 7 | 3 | 0.000002609938 | PASSED | 2
test33.in | Backtracking | 7 | 5 | 0.000003550062 | PASSED | 2
test33.in | Welsh-Powell | 7 | 5 | 0.000005490147 | PASSED | 2
test33.in | Greedy | 7 | 5 | 0.000002739951 | PASSED | 2
test34.in | Backtracking | 7 | 7 | 0.000012100022 | PASSED | 3
test34.in | Welsh-Powell | 7 | 7 | 0.000005969964 | PASSED | 3
test34.in | Greedy | 7 | 7 | 0.000002960069 | PASSED | 3
test35.in | Backtracking | 7 | 8 | 0.000011810008 | PASSED | 3
test35.in | Welsh-Powell | 7 | 8 | 0.000005969964 | PASSED | 3
test35.in | Greedy | 7 | 8 | 0.000003079977 | PASSED | 3
test36.in | Backtracking | 8 | 5 | 0.000003729947 | PASSED | 2
test36.in | Welsh-Powell | 8 | 5 | 0.000006060069 | PASSED | 2
test36.in | Greedy | 8 | 5 | 0.000002930081 | PASSED | 2
test37.in | Backtracking | 8 | 1 | 0.000004109973 | PASSED | 2
test37.in | Welsh-Powell | 8 | 1 | 0.000004859967 | PASSED | 2
test37.in | Greedy | 8 | 1 | 0.000002520066 | PASSED | 2
test38.in | Backtracking | 8 | 4 | 0.000004629930 | PASSED | 2
test38.in | Welsh-Powell | 8 | 4 | 0.000005500019 | PASSED | 2
test38.in | Greedy | 8 | 4 | 0.000003639981 | PASSED | 2
test39.in | Backtracking | 8 | 11 | 0.000009690039 | PASSED | 3
test39.in | Welsh-Powell | 8 | 11 | 0.000009339955 | PASSED | 3
test39.in | Greedy | 8 | 11 | 0.000003919937 | FAILED | 4
test40.in | Backtracking | 8 | 14 | 0.000012310036 | PASSED | 3
test40.in | Welsh-Powell | 8 | 14 | 0.000009449990 | FAILED | 4
test40.in | Greedy | 8 | 14 | 0.000003880123 | PASSED | 3
test41.in | Backtracking | 9 | 5 | 0.000005170098 | PASSED | 2
test41.in | Welsh-Powell | 9 | 5 | 0.000006849878 | PASSED | 2
